job_id,source,title,company,queried_job_title,work_setting,job_type,date_posted,date_scraped,city,state,zip,salary_period,salary_min,salary_max,salary_min_yearly,salary_max_yearly,salary_midpoint_yearly,job_url,search_url,job_description
,Indeed,Entry Level Assembly,"EMF, A Division within MUM Industries, Inc.",Assembly Line Worker,in-person,Full-time,2025-04-22,2025-04-23,Dallas,TX,75247,hourly,17.0,17.0,35360.0,35360.0,35360.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BET8RouKgzPKJGRXeS2PUAWZnZzXeGgJo40hfCx2wy_icltRDhZnX1lLidhseN3oSr4Q3aTSHJnq-p9zec0FFCFyBBpoW35-fGANBArLKiKrmDSRAenxORzxEGKr7YavTzU6DbEB2dmAKBsXVbq8xz5uIcSjFjd_BjBlV75AGKwDQnonHyBZQGl_Qbh0GfzxA5VKZKZtS5v_7K99V2TAqmYypGjFM9soH9uMTLU06wjg--87PGH8q-BLbXXB-KubbySQplgvND4Liagj0-21v3bPWqFk0QIvyZIPC-_4jj341l24UbWbhunBHovLxGxR40a9ke4z-ewbjzQG8LvViAdmfV0wO_UOSrVEFeJCjwowYL7kibeVwk5b_CXIP5smA0bCP1lCvitFOLeSab79xbEvabOT0Makv_DDI4GAV0Xs9bQFoi_hFGq6nVzp1IbGtj0UPXrLKD0fP8gdgg6ttR-D_7TosCCVEea9P1trSRobik6YheQ_qtw8moStjrmgH2PQKkPACRPbmw17kIcU0I8v7jhkeUiPv_k6wMShOtt7DGE4yCpKYoQ595ii7B-ZFdW84PDLYc9FZs7QxqXs4Ge8V5oY6u2sLuqHwqLp8kvwqUAGJfaecUj15ofRSHSUoppiEa3ksx8cD3XXW9k5ICy5F8UeK-oRU-MhVd6JIdsg==&xkcb=SoAQ6_M3zyLbo1RNQR0LbzkdCdPP&camk=ethIe0s0hedKfc--uTu5_g==&p=0&fvj=0&vjs=3,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Dallas%2C+TX&radius=25&fromage=7,"We are always looking for driven, talented people to join our team.

Founded in 1996, MUM Industries, Inc. is the parent company to a diverse group of industrial product manufacturers: Integra Enclosures, EMF MFG, and StrongBox. With seven locations across the globe, MUM Industries provides the products and services how our customers need it, where they need it and when they need it.

We believe in empowering and nourishing our employees with the tools, skills, and knowledge needed to grow and succeed. We are committed to meeting and exceeding our customer’s expectations by providing world-class products and service through continuous improvement and innovation.

When you join MUM Industries, you join a family devoted to achieving the highest standards of success together. We support the development and empowerment of our employees through an environment fostering open communication, integrity, and respect. Our collaborative and rewarding atmosphere gives us the opportunity to work with and continuously learn from our intelligent, skilled colleagues.

HOURS WE HAVE AVAILABLE:

1ST SHIFT: Monday- Friday 6:00AM- 2:30PM Starting at $17.00/hr

POSITION SUMMARY:

Start in Assembly with Attaching latches and lids using powered or manual tools.

You'll have potential to go into Weld Prep which is in fabrication. You will peal off the plastic for the stainless steel and prep it for the welders to weld metal enclosures.

You could use a pallet jack throughout the day to move materials around as needed through the day.

You can be placed in different departments throughout the day as needed.

Able to use equipment

1 Hand tools

2 Power tools

3 Tape guns

Inspect products to verify conformance to quality standards

1 Visual inspection

2 Process verification

Must be able to use hands and arms manually when:

Moving materials and products

Handling and installing components

Able to read and understand Bill of Materials (BOM) and Routers.

Must know what components are, in relation to the Bill of Materials.

Must be able to read assembly instructions to assemble product.

Able to assemble product based on the Bill of Materials & other documentation

Must be able to verify product with drawings (Where applicable)

Must be able to verify product based on Work instructions

Must be able to lift 50 pounds or greater.

Job Type: Full-time

Pay: From $17.00 per hour

Benefits:

  • 401(k)
  • 401(k) matching
  • Dental insurance
  • Employee discount
  • Flexible schedule
  • Health insurance
  • Health savings account
  • Life insurance
  • Paid time off
  • Professional development assistance
  • Referral program
  • Retirement plan
  • Tuition reimbursement
  • Vision insurance

Schedule:

  • 8 hour shift
  • Day shift
  • Monday to Friday

Experience:

  • Manufacturing: 2 years (Required)
  • Blueprint reading: 2 years (Required)

Work Location: In person"
491a1241cc8888cd,Indeed,Assembly Line Worker,Renaissance Repair and Supply,Assembly Line Worker,in-person,Contract,2025-04-18,2025-04-23,Flower Mound,TX,75028,hourly,18.0,18.0,37440.0,37440.0,37440.0,https://www.indeed.com/viewjob?jk=491a1241cc8888cd,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Dallas%2C+TX&radius=25&fromage=7,"Position Title: Assembly Line Worker

Location: Flower Mound, Tx  
Industry: Refurbished Telecommunications & Data Communications Equipment Provider

About Renaissance:

Renaissance is a leader in telecommunications, electronics and harsh environment repair, engineering, logistics and support solutions. We optimize the life cycles of our global customers by innovating what is available, to access the unavailable.

Responsibilities will include:

  • Assemble cable routers/telecommunications related items
  • Assist with imputing serial numbers into the computer system
  • Pack and stack routers/other related items into boxes on pallets
  • Uses a small drill while assembling
  • Must be able to sit or stand for long periods of time

This is a 40-hour a week, contract position."
,Indeed,Electrical Assembly Technician,Solavanti Lighting,Assembly Line Worker,in-person,Full-time,2025-04-17,2025-04-23,Garland,TX,75042,hourly,15.0,17.0,31200.0,35360.0,33280.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9yITuG189fDibpZXe61QO4Zlx_MC3eZNd2ao7Kx0-6jS-31BZ571WJfp6hS8xlr1jBWrLFupu___thhs378q_pLDGg6u3PeEA2gafhNpk-pB_Z9ByZDbgGd4C_VwfmTYtkLHFWj_twssuXTU0ZbnnG1PqFVsj2zOpqRf5n4DsrLyvT3b_vKYBk4vABrNWvCfIjS_PpNnpykfpqkcKEyQu-AMDWuftWkNoL-bFqqaczRgUh3NP_0MMitjyiatcArIKlVXso2KAB13gR1HdfOAWVctqcxzNHMlZoDlWXUMaQn2HRhLC_MfWoGY1WpvV8HIviprpMPR2AGH7sA1d1jD1UImmUyRl9NkBs_JzTLTcD8_xhHU4OW1Vkhbj9CCGWfqS1eqrRJZ9UanRMzbMR8DXEzgZ_mAWNNqi9mTgEocDbuKEg25nAV2XbXFX456Qg7vjqaT-jd8tqXl0bctrEMOfno5-N66EjLy4RzAS2nsRWCtaZHe5NtK6zOzaUXomvrZSw6qGq-_N47LOTga_68AxF6w-L-U74EhQ5PimgAMgBDxa8gnZ1PsODHqaQnklKArjLRxyPfxpjddtcnn1ZkDFqmwzzHL4fWJif9pe8vB0ejR3RXis8Zq-yp9Jm-i4YZjfxiHeHCkMl9wCD6fu_QCyudTKvOM6rGolITVNQCD2b_7Ok8psduwF&xkcb=SoA56_M3zyLbo1RNQR0JbzkdCdPP&camk=ethIe0s0heeJQ-ZINaEO2A==&p=2&fvj=0&vjs=3,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Dallas%2C+TX&radius=25&fromage=7,"Are you looking to kickstart your career in a hands-on role? Join our team as a Shop Helper and learn valuable skills in the electrical assembly and wiring of LED lights! No prior experience is necessary – we provide full training to set you up for success.

About the Role  
As a Shop Helper, you’ll play a key part in the assembly process of our high-quality LED lighting products. Your primary responsibilities will include:

  • Assisting with the assembly of LED lighting components.
  • Learning and performing basic electrical wiring tasks.
  • Ensuring quality standards are met in all completed products.
  • Maintaining a clean and organized workspace.

What We’re Looking For

  • A positive attitude and willingness to learn.
  • Good attention to detail and ability to follow instructions.
  • Reliable and punctual with a strong work ethic.
  • Ability to work in a team-oriented environment.

What We Offer

  • Comprehensive training – no experience required!
  • Opportunities for skill development and career growth.
  • Supportive and friendly work environment.
  • Competitive pay and benefits.

Normal work days are Mon.-Fri. 8:00 am to 4:30 pm with a 30-minute lunch break.

This is a fantastic opportunity for someone eager to start a hands-on role in a growing field. If you’re motivated to learn and want to be part of a dynamic team, we’d love to hear from you!  
This ad will remain posted until the position is filled.  
If you ask if the job is still available, your response/inquiry will be deleted.

How to Apply:  
Send your resume or a brief description of your background and interest in the role. You will not be considered for the position if you do not send a job experience summary.  
We welcome applicants from all backgrounds and experiences. Join us and light up your career with us

Job Type: Full-time

Pay: $15.00 - $17.00 per hour

Expected hours: 40 per week

Benefits:

  • Health insurance
  • Paid time off

Schedule:

  • 8 hour shift
  • Monday to Friday

Ability to Commute:

  • Garland, TX 75042 (Preferred)

Ability to Relocate:

  • Garland, TX 75042: Relocate before starting work (Preferred)

Work Location: In person"
9b132c7d20d3c07e,Indeed,Production Assembler,Tremco CPG Inc.,Assembly Line Worker,in-person,Full-time,2025-04-16,2025-04-23,Dallas,TX,,hourly,15.85,18.98,32968.0,39478.4,36223.2,https://www.indeed.com/viewjob?jk=9b132c7d20d3c07e,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Dallas%2C+TX&radius=25&fromage=7,"Tremco Construction Products Group brings together Tremco CPG Inc.’s Commercial Sealants & Waterproofing and Roofing & Building Maintenance divisions; Tremco Barrier Solutions Inc.; Dryvit, Nudura and Willseal brands; Prebuck LLC; Weatherproofing Technologies, Inc.; Weatherproofing Technologies Canada and PureAir Control Services, Inc. Altogether, Tremco CPG companies operate 21 manufacturing facilities, 6 distribution sites, and 3 R&D/technology sites, and employ more than 2,700 people across North America.

GENERAL PURPOSE OF THE JOB: 

The Production Assembler performs assigned tasks that include, but are not limited to, producing architectural shapes, EIFS wall components, and exterior panel systems.

ESSENTIAL DUTIES AND RESPONSIBILITIES: 

  • Follows the daily production schedule set by the Production Supervisor.
  • Hand applies adhesive mesh to parts.
  • Mixes base coats and finishes with electric drill and paddle.
  • Works as part of a team to run parts through extrusion equipment.
  • Assembles and pours mold for cast stone.
  • Trims parts with cutting equipment.
  • Assists in building custom crates based on project specifications.
  • Prepares and organizes parts for shipment.
  • Assists with shipping and receiving.
  • Follows all safety requirements.
  • Cleans equipment after use and assists team in keeping production space clean and organized.
  • Assists with monthly inventory counts.

PHYSICAL DEMANDS: 

Incumbent must be able to stand, walk, sit, use hands, reach, climb, balance, kneel, talk, hear, and lift up to 50 lbs.

BENEFITS AND COMPENSATION: 

The hourly rate/salary range for applicants in this position generally ranges between $15.85 and $18.98. This range is an estimate, based on potential employee qualifications, operations, needs, and other considerations permitted by law. 

The Company offers a variety of benefits to its employees, including but not limited to health insurance, paid holidays, paid time off, 401(k) Savings and Trust & Plan with company match, Company Pension Plan, Performance Based Bonus/Commission, and continuing education. 

All qualified applicants will receive consideration for employment without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status."
f097640973417610,Indeed,Product Assembler,M&C Assemblies,Assembly Line Worker,in-person,Contract,2025-04-23,2025-04-23,Addison,TX,,weekly,300.0,1000.0,15600.0,52000.0,33800.0,https://www.indeed.com/viewjob?jk=f097640973417610,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Dallas%2C+TX&radius=25&fromage=7,"We are looking for an experienced Assembly Technician to build items such as: bikes, grills, lawn mowers, patio furniture, wheelbarrows, and other like items for our retail clients. The pay is performance-based, which means the more you build, the more you make! Being self-motivated and capable of working unsupervised is a must!

*You must provide proof of previous industry experience*

Example: handyman jobs, carpentry, maintenance work, auto mechanics, home remodeling, etc.

Tools required: cordless drill, and basic hand tools. You must provide proof that you have the necessary tools for this line of work, as they will be needed on day one!

Pay range: $300 - $1000 per week, depending on assembly pace.

If this seems like the perfect fit for you, please apply and a member of our Onboarding team will reach out to you within 48 business hours.

Job Types: Full-time, Contract

Pay: $300.00 - $1,000.00 per week

Schedule:

  • Day shift

Work Location: On the road"
cf6ad81a2dbdd7f9,Indeed,Concrete Laborer,American Concrete Products,Assembly Line Worker,in-person,Full-time,2025-04-22,2025-04-23,Dallas,TX,,hourly,17.0,18.0,35360.0,37440.0,36400.0,https://www.indeed.com/viewjob?jk=cf6ad81a2dbdd7f9,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Dallas%2C+TX&radius=25&fromage=7,"American Concrete Products is a leading manufacturer of quality concrete products for various industries. We are currently looking for dedicated and hardworking individuals to join our team as Precast Concrete Laborers. In this role, you will contribute to the production of precast concrete products, ensuring high-quality standards while working as part of a team in a fast-paced environment.

###   
Responsibilities

  • Assist in the preparation and assembly of precast concrete forms.
  • Pour, set, and finish concrete in molds under supervision.
  • Perform tasks such as rebar tying, form removal, and equipment cleaning.
  • Follow proper safety procedures and maintain a clean work environment.
  • Collaborate with team members to meet production deadlines.
  • Inspect finished products for quality and compliance with specifications.
  • Assist in the maintenance of tools and equipment.

Requirements

  • Previous experience in construction or concrete work is beneficial.
  • Experience in rebar tying a plus
  • Experience using a measuring tape
  • Strong physical stamina and the ability to lift heavy materials.
  • Understanding of safety procedures in a construction setting.
  • Good teamwork and communication skills.
  • Willingness to learn and take direction from supervisors.
  • Availability to work flexible hours, including overtime as required.

Benefits

  •     • PAY $17-$18 AN HOUR
    • FULLTIME YEAR-ROUND WORK
    • Medical, Dental & Vision Benefit’s after 60 Days
    • Competitive Compensation & Profit Sharing
    • Available Over Time
    • 401K with Match
    • Internal promotional opportunities
    • Company Sustainability – Since 1940

Enterprise Properties, Inc. and its subsidiaries are an equal opportunity employer that complies with EEOC rules and regulations. American Concrete Products is part of the Enterprise Properties, Inc Family Pre-Employment Drug Screen, Criminal Background check, Reference check & Employment Verification are all part of our hiring process.

#ACPTX2021"
78cf935380291836,Indeed,Assembler/Sequencer 3rd Shift,Avancez Assembly,Assembly Line Worker,in-person,Full-time,2025-04-22,2025-04-23,Arlington,TX,76011,hourly,15.0,15.0,31200.0,31200.0,31200.0,https://www.indeed.com/viewjob?jk=78cf935380291836,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Dallas%2C+TX&radius=25&fromage=7,"Do you want to work at an organization that is people focused, service minded and results oriented, that offers their customers creative problem solving, progressive solutions, and improved outcome? Then Avancez Assembly may be the place for you. We are committed to a culture of excellence, with a focus on best practices and continuous improvement. We understand that our people are our biggest strength, and we know that world-class service happens because of our capable and valued team members. Whether you are looking for an assembly position or a career in manufacturing management, you can thrive as a member of our team.   

ASSEMBLER / SEQUENCER- 3RD SHIFT   

JOB SUMMARY:  
Assembler or Sequencer position will be responsible for operating production line equipment, finishing products and reporting any issues with equipment/station directly to his/her direct supervisor.   
An assembler or sequencer position can include repetitive lifting, twisting and bending, in a factory setting. This opportunity will provide the candidate hands-on, day-to-day technical interaction within automotive manufacturing.   
Staring Pay: $15.00/hour   
3rd Shift: Sunday 9pm - 6:15am   
Monday-Friday 10pm - 6:15am   
3rd Shift: $1.00 Shift Premium   

DUTIES AND RESPONSIBILITIES:  

  • Assemble goods on production lines following applicable work instructions;
  • Carry out basic quality and testing checks;
  • Follow Company’s philosophies and values at all times;
  • Maintain a safe work environment through good housekeeping in work areas and equipment;
  • Adhere to safe work practices at all times;
  • Monitor the production process and be part of the teamwork culture assisting the team in order to achieving their production goals;
  • Ensure that all production and quality systems are followed at all times;
  • Ensure that information is communicated and acted upon allowing the team to make appropriate decisions to focus on necessary improvements;
  • Help the team meet customer expectations;
  • Feed raw materials into production machinery;
  • Store goods and raw materials properly in our warehouse;
  • Use lifting equipment to fulfill orders;
  • Pack goods to be shipped;
  • All other duties as assigned.

EDUCATION AND EXPERIENCE:  

  • High School diploma or equivalent
  • Experience: 1+ year experience in a manufacturing environment is a plus

TRAVEL:  

  • Travel Required: No

KNOWLEDGE, SKILLS, AND ABILITIES:  

  • Able to multi-task in a fast-paced warehouse environment;
  • Ability to effectively interact with people;
  • Able to work on foot for extended periods of time;
  • Be able to work any shift;
  • Be able to work weekends when volunteered for or required;
  • Be highly motivated and have an interest in manufacturing;
  • Have a history of safe work practices;
  • Be a team player, who is flexible and easily adapts to change.
  • Must be able to lift up to 40 pounds
  • Must be able to stand for 8-9 hours a day
  • Must be a team player and be willing to work close to other employees at some stations. (Less than 3 feet apart.)
  • Must have good communication skills
  • Must have good hand and eye coordination
  • Ability to multitask and work quickly

BENEFITS:  

  • Blue Cross Blue Shield Medical
  • Delta Dental
  • VSP Vision
  • 401k Matching
  • Tuition Reimbursement
  • Paid Time Off
  • Employee Assistance Program
  • Additional Competitive Benefits

TRAITS/VALUES:  

  • Hope: The quality of possessing and adhering to positive, optimistic expectation of future events.
  • Trust: Confidence in one another.
  • Compassion: The quality of an understanding of another's challenges.
  • Justice: Concern for fairness.
  • Wisdom: The quality of having good, sound judgement.
  • Courage: Strength in the face of adversity.

PHYSICAL CONDITIONS AND PHYSICAL REQUIREMENTS:  
The above statements describe the general nature and level of the work being performed and are not an exhaustive list of all responsibilities of a team member in this position. Job duties and functions can change at any time and Avancez Assemblies reserves the right to require other duties as needed without revision to this document.   

Avancez Assembly is an Equal Opportunity and Affirmative Action Employer. This company will provide equal opportunity to all individuals without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status. Information collected regarding categories as provided by law will in no way affect the decision regarding an employment application."
278aa424f639408b,Indeed,Assembler,Acara Solutions,Assembly Line Worker,in-person,Temp-to-hire,2025-04-23,2025-04-23,Dallas-Fort Worth,TX,75261,hourly,19.0,19.0,39520.0,39520.0,39520.0,https://www.indeed.com/viewjob?jk=278aa424f639408b,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Dallas%2C+TX&radius=25&fromage=7,"Job Overview

We are seeking an Assembler to join our team in a manufacturing facility. The Assembler will be responsible for fabricating and assembling various components to create finished products.

Duties

  • Operate power tools and hand tools to assemble parts
  • Work on an assembly line to fabricate products
  • Follow detailed instructions to complete tasks accurately and efficiently
  • Maintain a clean and organized workspace in the factory or warehouse
  • Use forklifts to move materials as needed

Skills

  • Mechanical knowledge to understand assembly processes
  • Experience with power tools and hand tools
  • Ability to work in a fast-paced manufacturing environment
  • Familiarity with assembly line operations
  • Proficiency in fabricating and assembling components

Job Type: Temp-to-hire

Pay: $19.00 per hour

Schedule:

  • 8 hour shift

Experience:

  • Mechancial Assembly: 2 years (Required)

Ability to Commute:

  • DFW Airport, TX 75261 (Required)

Ability to Relocate:

  • DFW Airport, TX 75261: Relocate before starting work (Required)

Work Location: In person"
b1912a91cf72217b,Indeed,Production Assembler - Packaging,Epimed International,Assembly Line Worker,in-person,Full-time,2025-04-18,2025-04-23,Dallas,TX,75234,hourly,15.0,15.0,31200.0,31200.0,31200.0,https://www.indeed.com/viewjob?jk=b1912a91cf72217b,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Dallas%2C+TX&radius=25&fromage=7,"Job Summary  
We are seeking a dedicated and detail-oriented Production Assembler in our Packaging Department to join our manufacturing team. The ideal candidate will possess a strong mechanical knowledge and the ability to assemble, and package products in compliance with FDA regulations. This role requires proficiency with hand manufacturing equipment as well as the ability to work independently.

Summary:

  • Performs a variety of bench assembly/packaging operations to produce medical devices such as epidural catheters, pain management needles and procedural trays.
  • Essential Duties and Responsibilities – including but not limited to:
  • Cleaning in process product at specified points in the manufacturing flow by following specified Standard Operating Procedures.
  • Operates manufacturing equipment, such as heat sealer, and others, to perform duties essential to the manufacturing process.
  • Package products by bagging, boxing and labeling as instructed.
  • Works independently at various stations throughout the manufacturing process, while practicing good housekeeping and showing responsibility for one’s own workspace.
  • Records production quantities and time on a daily basis.

Qualifications:

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Job Type: Full-time

Pay: From $15.00 per hour

Expected hours: 40 per week

Benefits:

  • 401(k)
  • 401(k) 2% match
  • 401(k) matching
  • Dental insurance
  • Flexible spending account
  • Health insurance
  • Life insurance
  • Paid sick time
  • Paid time off
  • Retirement plan
  • Vision insurance

Schedule:

  • 8 hour shift
  • Day shift

Experience:

  • Manufacturing: 1 year (Required)

Language:

  • English (Required)

Shift availability:

  • Day Shift (Required)

Ability to Commute:

  • Dallas, TX 75234 (Required)

Work Location: In person"
caa4a340295c2da6,Indeed,"Mechanical Assembler/Technician(Calibrate,Torque)",Tellus Solutions,Assembly Line Worker,in-person,Contract,2025-04-17,2025-04-23,Richardson,TX,75081,hourly,27.0,27.0,56160.0,56160.0,56160.0,https://www.indeed.com/viewjob?jk=caa4a340295c2da6,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Dallas%2C+TX&radius=25&fromage=7,"Job Description:  
This is an exciting opportunity for a proven technical expert in the calibration of Test and Measurement Equipment. This is role for a key individual who will work full time at a client calibration site located in Richardson, TX.

Specific duties include:

  • Perform work related to the calibration and adjustment of hand-held torque devices (wrenches, screwdrivers).
  • Ability to work accurately in a high-volume environment
  • Able to utilize written calibration procedures and Excel spreadsheets.
  • Accurately enters data into Calibration management software and datasheets.
  • Adheres to company and quality policies and procedures.

Requirements:

  • High School Degree, GED or equivalent.

Position requires:

  • Preferred: some experience with torque tools.
  • Willingness to receive hands-on training in torque tool calibration
  • Basic math skills
  • Attention to detail
  • Strong written and verbal communication skills.
  • Able to utilize Windows and Microsoft Office (Excel).

Job Types: Full-time, Contract

Pay: $27.00 per hour

Benefits:

  • Health insurance

Schedule:

  • 8 hour shift

Work Location: In person"
