job_id,source,title,company,queried_job_title,work_setting,job_type,date_posted,date_scraped,city,state,zip,salary_period,salary_min,salary_max,salary_min_yearly,salary_max_yearly,salary_midpoint_yearly,job_url,search_url,job_description
c3203777d60ef0b6,Indeed,Production Assembler,Gratz Pilates,Assembly Line Worker,in-person,Full-time,2025-04-22,2025-04-23,Philadelphia,PA,19104,hourly,18.0,22.0,37440.0,45760.0,41600.0,https://www.indeed.com/viewjob?jk=c3203777d60ef0b6,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Philadelphia%2C+PA&radius=25&fromage=7,"We are looking for motivated assemblers to join our Production Assembly/Final Parts Assembly team and contribute to the completion of our quality products.

Job Summary: This role is responsible for joining our production team in the final  
stages of assembling  
larger high-end workout equipment, combining the necessary components and  
preparing items for shipping.

Key Responsibilities:

Kitting:

  • Review product orders to collect items and accurately maintain  
the production schedule

  • Track and report any missing or defective parts needed for products

Quality Control:

  • Analyze and assess quality of items, identifying any inconsistencies or defects

  • Ensure that the final assembled products are prepped appropriately for shipping and handling

Calibration:

  • Gain a thorough understanding of company product line, including specifications and features of equipment

  • Ensure the assembled products are consistent with standards  
and functioning properly

General:

  • Utilizing tools such as drills, screwdrivers, wrenches, hammers and tape measures to correctly assemble larger equipment

  • Work in a collaborative environment to maintain  
production flow and achieve common goals

Skills:

  • Manual dexterity

  • Attention to detail

  • Problem solver

  • Strong time management

  • Ability to work in a fast-paced environment

  • Ability to read drawings

Qualifications:

  • High school-level education or equivalent

  • 12 months of production assembly experience

  • Ability to follow directions and listen well

  • Prior experience using basic hand and power tools

  • Ability to lift 20-35 lbs. of material as needed

  • Positive attitude with the ability to take feedback

  • Knowledge of basic safety protocols

  • Excellent attention to detail and quality control

Working Conditions:

  • The role may require standing for extended periods and working with various metal machinery and tools.

  • Personal protective equipment (PPE) will be provided and must be worn as required.

About Us/ Company Overview:

At Gratz, we specialize in crafting high-end products that combine wood, metal, and leather into exceptional works of art. Gratz Pilates is the original manufacturer of Pilates apparatus and the industry's established source for authentic equipment. Our company was started by Frank Gratz in New York City in 1928 as a custom fabrication shop producing industrial design prototypes, architectural metal, furniture and sculpture for many of the world's greatest designers. Our dedication to quality, craftsmanship, and attention to detail sets us apart in the industry."
86e2a86b83caa012,Indeed,Material Handler 2 - Bindery,RR Donnelley,Assembly Line Worker,in-person,Full-time,2025-04-18,2025-04-23,Philadelphia,PA,19115,hourly,16.51,18.08,34340.8,37606.399999999994,35973.6,https://www.indeed.com/viewjob?jk=86e2a86b83caa012,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Philadelphia%2C+PA&radius=25&fromage=7,"Company Description  

  • RRD is a leading global provider of marketing, packaging, print, and supply chain solutions that elevate engagement across the complete customer journey. The company offers the industry’s most trusted portfolio of creative execution and world-wide business process consulting, with services designed to lower environmental impact. With 22,000 clients, including 93% of the Fortune 100, and 32,000 employees across 28 countries, RRD brings the expertise, execution, and scale designed to transform customer touchpoints into meaningful moments of impact.

Job Description  

  • Responsible for laying up, feeding or piling down materials at equipment
  • Jog product off counter stacker and stack neatly on skid to assure good running in bindery or mailing department
  • Complete skid flags and packaging slips to ensure accurate tracking
  • Install strapping, bracing, or padding to prevent shifting or damage in transit, using hand tools
  • Attaches identifying tags or labels to materials or marks information on cases, bales, or other containers
  • Stacks or assembles materials into bundles and bands bundles together, using banding machine and clincher
  • May use automated equipment and/or occasionally operate industrial truck or electric hoist to assist in loading or moving materials and products

Disclosure Statement:

The pay range for this role at the noted location is $16.51 to $18.08 per hour. The actual rate of pay offered may vary based upon, but not limited to: education, skills, experience, proficiency, performance, shift, and location. In addition to base salary, depending on the role, the total compensation package may also include overtime, shift differential, call-in, and stand-by pay. RRD offers benefits including medical, dental, and vision coverage, paid time off, disability insurance, 401(k) with match, life insurance and other voluntary supplemental insurance coverages, plus tuition assistance, maternity leave, adoption assistance, and employer/partner discounts

Qualifications  

  • Able to stock, move, arrange, and rotate items in accordance with operating instructions
  • Able to complete appropriate forms relating to stock description, quantity, unit of issue, and the labeling requirements for incoming and outgoing materials
  • Good skill in the use of shrink-wrap and strapping equipment, powered lift equipment, pallet jacks, manual dollies, carts or hand trucks and hand tools used in material handling tasks such as hammers, pliers, strapping and stretch wrapping tools and equipment, tape fasteners, metal band sheers and related equipment
  • Good knowledge of general warehouse layout, item identification codes, basic warehouse procedures, and the storage areas in order to be able to place or pull paper stock, signatures and materials in accordance with standard procedures
  • May require experience in operating/using forklift truck

Additional Information

All your information will be kept confidential according to EEO guidelines.

RRD is an Equal Opportunity Employer, including disability/veterans"
554ddb3292573020,Indeed,Seasonal Summer Production Associate,"Timberlane, Inc.",Assembly Line Worker,in-person,Seasonal,2025-04-22,2025-04-23,Montgomeryville,PA,18936,hourly,16.0,16.0,33280.0,33280.0,33280.0,https://www.indeed.com/viewjob?jk=554ddb3292573020,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Philadelphia%2C+PA&radius=25&fromage=7,"Are you looking for a chance to gain valuable, hands-on experience in a cutting-edge manufacturing facility?   

We are accepting applications now for employment opportunities in starting in May and June   

Look no further than Timberlane's seasonal production program! Join our team this spring and summer to be part of exciting projects and learn the ins and outs of manufacturing in our state-of-the-art facility.   

Our program is the perfect opportunity to get involved in various aspects of our manufacturing process and build your resume by working on key projects. With a wide range of backgrounds and interests among our past summer program participants, from engineering to woodworking technology, we welcome anyone with a passion for pursuing a career in manufacturing.   

As a seasonal team member, you'll be an integral part of our production environment, operating woodworking equipment, using hand and power tools to assemble custom exterior shutters, prepping and sanding shutters for the paint room, and inspecting and boxing final products.   

With a Monday through Friday schedule from 6:30 am to 3:00 pm, you'll have plenty of time to explore all that Timberlane has to offer. Join us for an unforgettable experience!"
6959aec364354ca9,Indeed,Production Associate II,Klein Tools,Assembly Line Worker,in-person,Full-time,2025-04-19,2025-04-23,Trevose,PA,19053,,,,,,,https://www.indeed.com/viewjob?jk=6959aec364354ca9,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Philadelphia%2C+PA&radius=25&fromage=7,"The Production Associate II is responsible for performing simple to moderately complex manufacturing assembly and packaging operations using a variety of hand tools, power tool and shop equipment with minimal supervision.   

  • Perform assembly operations according to the provided documentation. Fastens parts together with bolts, screws, rivets, adhesives or other fasteners using a variety of different tools.
  • Operate power tools such as drill presses, sanders and grinders while following strict safety guidelines.
  • Refer to drawings and written procedures on all work to be performed with limited verbal instruction required.
  • Notify supervisor of missing or defective parts and/or tools or equipment problems.
  • Identify product defects and reports them to the supervisor.
  • Keep work area in clean and orderly condition, complying with established 5S standards.
  • Continuously look for ways to improve process flow and eliminate waste.
  • Maintain a safe work environment to prevent on‐the‐job injuries by following and promoting company, OSHA and EPA rules and regulations, implementing machine safeguards, recognizing and reporting safety hazards and follow all safety procedures and standards.
  • Perform other duties as required within the nature and level of work.

Qualifications   
High school diploma or equivalent is preferred and one ﴾1﴿ year of mechanical or assembly experience are required.   
Must be able to read, write, speak and understand basic English. Ability to demonstrate good mechanical aptitude and proficiency in basic math and trigonometry. Ability to communicate and work as a team member. Ability to work independently with minimum supervision. Must be able to stand for the duration of the shift.   
Physical Demand Requirements   
Required to stand, walk or sit; use hands to finger, handle or feel objects, tools or controls; reach with hands and arms; climb stairs; balance; stoop, kneel, crouch or crawl; talk or hear; taste or smell. The employee must occasionally lift and/or move objects up to 35 pounds. Specific vision abilities required by the job include close vision, distance vision, color vision, peripheral vision, depth perception, and the ability to adjust focus."
2830dc55ceeaa86b,Indeed,General Laborer,Golden Touch Detail,Assembly Line Worker,in-person,Full-time,2025-04-21,2025-04-23,Philadelphia,PA,19150,hourly,18.0,20.0,37440.0,41600.0,39520.0,https://www.indeed.com/viewjob?jk=2830dc55ceeaa86b,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Philadelphia%2C+PA&radius=25&fromage=7,"Overview  
We are seeking dedicated and skilled Laborers to join our dynamic team in a fast-paced facility. The ideal candidate will possess a strong work ethic and experience with power and hand tools. This role is essential in ensuring the smooth operation of our overall production processes. If you are looking for an opportunity to grow within a supportive environment, we encourage you to apply.

Responsibilities

  • Operate various power tools and hand tools safely and effectively.
  • Assist in the assembly of equipment ensuring quality standards are met.
  • Maintain a clean and organized work area to promote safety and efficiency.
  • Collaborate with team members to meet production goals and deadlines.
  • Operate forklifts to move materials around the warehouse or factory as required.
  • Follow all safety protocols and guidelines to ensure a safe working environment.

Requirements

  • Proven tool knowledge, with experience using power tools and hand tools.
  • Experience operating heavy equipment
  • Strong attention to detail and commitment to quality workmanship.
  • Ability to work effectively in a team-oriented environment while also being self-motivated.
  • Willingness to learn new skills and adapt to changing production needs.
  • Driver's license
  • Reliable transportation

Job Type: Full-time

Pay: $18.00 - $20.00 per hour

Expected hours: 40 per week

Benefits:

  • Opportunities for advancement

Schedule:

  • 8 hour shift
  • Day shift

Supplemental Pay:

  • Bonus opportunities

Work Location: In person"
07e2a082a04c3837,Indeed,Assembler,Reliable Equipment & Service Co Inc,Assembly Line Worker,in-person,Full-time,2025-04-18,2025-04-23,Ivyland,PA,18974,,,,,,,https://www.indeed.com/viewjob?jk=07e2a082a04c3837,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Philadelphia%2C+PA&radius=25&fromage=7,"Reliable Equipment & Service Co. is modern and clean tooling, repair, and distribution center looking for Assemblers to be a part of a growing team serving the Power and Utility Industry. If you are mechanically inclined, this is a great opportunity to learn a new trade. We are willing to train!

An employee in this position is expected to:

  • Accurately assemble our product by reading and interpreting drawings, specifications, bill of materials, and other written instructions.
  • Verify correct quantities of component parts and ensure completed items are up to quality and safety standards.
  • Inspect tools and equipment for defects and notify the supervisor of any maintenance or repairs needed.

What would make you a great fit for the role?

  • Familiarity with assembly tools and equipment.
  • Mechanically inclined.
  • Can prioritize and work well in a fast-paced environment.
  • Attentive to detail.
  • Excellent communication and organizational skills.

  • Candidates may also stop by to fill out an application - 301 Ivyland Road in Warminster, PA.

Benefits Summary:

We offer a competitive salary and an excellent benefits package, including medical, dental, vision and prescription. Company paid life insurance and LTD, STD, 401(k) plan with company match, FSA, and HSA accounts. Vacation, Sick Personal days and much more.  

*This is a Safety-sensitive position.

If offered the position, candidate must successfully pass a background check which includes criminal, DMV, and drug testing.

Reliable Equipment is committed to the principle of equal employment opportunities for all people and embraces diversity. Furthermore, Reliable Equipment does not discriminate as Reliable Equipment is an equal opportunity employer. Reliable Equipment does not discriminate against any person on the basis of race, color, religion, national origin, age, sex (including pregnancy, childbirth and related medical conditions), disability, genetics, citizenship status, military service, or any other status protected by law, in matters pertaining to employment opportunities."
b56cfc6bfb229aed,Indeed,Electronics Assembler,"Applied Energy Systems, Inc.",Assembly Line Worker,in-person,Full-time,2025-04-21,2025-04-23,Malvern,PA,19355,hourly,22.0,28.0,45760.0,58240.0,52000.0,https://www.indeed.com/viewjob?jk=b56cfc6bfb229aed,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Philadelphia%2C+PA&radius=25&fromage=7,"Position Overview:

The Electronics Assembler will support our Production Department by assembling electrical controllers and electronic components, sub-assemblies, and systems for company manufactured products.

Responsibilities Include:

  • Read and interpret complex electrical schematics, as well as some layout drawings, procedures, work instructions, component specifications, and work orders
  • Assemble electrical systems and support structures
  • Position, align, and install subassemblies, wiring, and components such as transformers, inverters, PLCs, and relays on enclosures and sub panels according to wiring schematics
  • Route, secure, interconnect and terminate wiring of equipment mounted devices to control and remote enclosures
  • Inspect and test electrical systems and continuity of circuits in wiring installations
  • Use testing devices such as ohmmeters, voltmeters, digital multimeters, signal generators, semiconductor testers, curve tracers, and oscilloscopes to ensure proper equipment operation
  • Position, align, and adjust components for proper fit & function
  • Provide troubleshooting assistance and perform electrical repairs or adjustments as necessary
  • Assist engineering by making recommendations for design considerations as it pertains to equipment configuration
  • Maintain accurate records of labor hours and materials used
  • Perform all other duties and tasks as assigned

Requirements:

  • Strong ability to read and interpret electrical schematics and drawings
  • Minimum 1-3 years' experience in the field of electrical assembly, electrical controller assembly, or small circuit wiring
  • PLC assembly, programming, and troubleshooting knowledge
  • Must possess a strong electrical and mechanical skill set
  • Ability to use basic hand tools such as wire strippers, crimpers, drills, taps, screwdrivers, hammers, etc.
  • Working knowledge of 120, 240, 480VAC as well as 24VDC control systems
  • Working knowledge of NEC and UL 508a wiring practices
  • Must possess strong attention to detail and a desire to produce quality work
  • A self-propelled attitude that embraces responsibility

Physical Requirements:

  • Must have good vision and dexterity
  • Must be able to sit throughout the day for extended periods of time
  • Must be able to work with small components
  • Must be able to lift 50 lbs.

Company Background:

Founded in 1968, Applied Energy Systems is the premier gas delivery equipment and service provider to the semiconductor, photovoltaics, R&D, and government industries, as well as a contract manufacturer specializing in precision welding services for the medical, precision instrumentation, and other critical industries. As a growing manufacturing company serving thousands of customers domestically and worldwide, we form long standing relationships with our clients, providing them with the equipment and services they need to succeed.

Applied Energy Systems is an equal opportunity/ affirmative action employer.

Applied Energy Systems Inc is an EEO employer - M/F/Vets/Disabled"
ff64c5d9d940187b,Indeed,Deburring/Assembly Technician - Medical Device,Acero Precision,Assembly Line Worker,in-person,Full-time,2025-04-16,2025-04-23,West Chester,PA,19380,hourly,18.0,22.0,37440.0,45760.0,41600.0,https://www.indeed.com/viewjob?jk=ff64c5d9d940187b,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Philadelphia%2C+PA&radius=25&fromage=7,"Why Join the Acero Precision Team?

Acero Precision, located in West Chester, PA is an industry leading Medical Device contract manufacturer producing the very best in precision engineered components. To succeed in today’s manufacturing industry- with its demands to serve customers in a truly global environment- we rely on three vital resources: the newest engineering technologies, quality systems, and most importantly highly-skilled people. We invite you to become a member of an organization that has established an outstanding reputation for quality and excellence. Highly competitive wages, a state-of-the-art-facility, an emphasis on work/life balance, career advancement, a team-centered workplace culture, and the opportunity to be your best is waiting for you at Acero Precision.

Our company promotes an environment that allows for continuous growth and promotion opportunities!

What We Offer

  • 1st Shift: Premium Hourly Rate
  • 2nd Shift: Premium Hourly Rate, Plus 15%
  • 3rd Shift: Premium Hourly Rate, Plus 30%
  • Overtime
  • 100% Employer Paid Medical Plan
  • Dental / Vision Benefits
  • Work-Life Services Benefit Program (Employee + Family)
  • Group Life Insurance
  • 401k retirement plans with employer match
  • Personal Time Off (PTO)
  • Holiday Pay
  • Relocation Assistance
  • Professional Development
  • 100% Paid Uniforms

What You Will Do

  • Must be mechanically inclined!
  • Deburring is a finishing process that removes the sharp edges, burrs, and inconsistencies from materials like metals, steel and alloys. The result is a smooth edge and fine finished surface.
  • Ensure that parts are cleaned and deburred to quality standards.
  • Use hand tools and machinery to perform deburring and finishing tasks.
  • Clean parts to customer satisfaction.
  • Communicate recommendations for process improvement.
  • Complete inspection forms and related documentation.
  • Successfully assemble multi-component parts per blueprint specifications with minimal exposure to fall outs.
  • Coordinates with assembly supervisor in order to meet daily department goals.
  • Assures proper final assembly in order to generate final reports necessary for certificate of conformance creation.
  • Coordinate with the Quality Assurance Department to ensure that all quality standards are met, and to communicate any issues to assembly supervisor.
  • Enforce and maintain special procedures and requirements, such as assembly instructions and packaging, on a job-to-job basis. organizing and cleaning workstations daily, including the computer, and assembly fixtures.

Who You Are

  • High school diploma/GED required
  • 2 + years of Assembly experience
  • Experience with quality control processes

Skills & Competencies 

  • Strong commitment to detail and error-free performance.
  • Have a mechanical aptitude. (Specific to manufacturing floor employees).
  • Basic mechanical skills, including hand tools and their proper use.
  • Ability to read and interpret drawing requirements.

Acero Precision is proud to be an Equal Opportunity Employer. Acero Precision does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status, or any basis covered by appropriate law. All employment is decided on the basis of qualifications, merit and business need.

Principals only. Recruiters please do not reply to Acero Precision job posts. All applications and/or contact information submitted are kept on file and property of Acero Precision. Please note recruiting fees will not be honored when candidate application(s) are submitted by recruiter(s) or any other entity other than the actual candidate.

Join a team committed to improving lives!

####  Education

Preferred 

  • High School or better

####  Behaviors

Preferred 

  • Detail Oriented: Capable of carrying out a given task with all details necessary to get the task done well
  • Enthusiastic: Shows intense and eager enjoyment and interest
  • Team Player: Works well as a member of a group

####  Motivations

Preferred 

  • Ability to Make an Impact: Inspired to perform well by the ability to contribute to the success of a project or the organization
  • Self-Starter: Inspired to perform without outside help
  • Growth Opportunities: Inspired to perform well by the chance to take on more responsibility
  • Goal Completion: Inspired to perform well by the completion of tasks

Equal Opportunity Employer  
This employer is required to notify all applicants of their rights pursuant to federal employment laws. For further information, please review the Know Your Rights notice from the Department of Labor."
88491385d9b54b5a,Indeed,Precision Assembly Specialist,Ingersoll Rand,Assembly Line Worker,in-person,,2025-04-17,2025-04-23,Warminster,PA,18974,hourly,19.0,20.0,39520.0,41600.0,40560.0,https://www.indeed.com/viewjob?jk=88491385d9b54b5a,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Philadelphia%2C+PA&radius=25&fromage=7,"Join a Legacy of Innovation!

Position: Precision Assembly Specialist  
Location: Ivyland, PA (201 Ivyland Rd. Warminster, PA 18974)

Do you see yourself thriving in a dynamic environment where cutting-edge technology meets legacy excellence? Ingersoll Rand, a powerhouse in delivering top-tier industrial solutions, is inviting you to bolster our Williams Assembly team. With 160 years of innovation behind us and an impressive suite of products, we’re geared towards making life better across the globe. Visit irco.com to be part of a future-centered journey.

Your Role:

  • Dive into the heart of product creation by assembling, inspecting, and ensuring products meet stringent standards.
  • Master the art of reading blueprints, understanding technical drawings, and interpreting work orders without missing a beat.
  • Hone your skills with practical tools ranging from wrenches to drills, and embrace challenges like tube bending and soldering to upscale your craftsmanship.

How We Work:  
At Ingersoll Rand, we are driven by an ownership mindset centrally anchored in safety and quality. Engage in practices like:  

  • Continuous material monitoring, ensuring smooth production and efficient teamwork.
  • Quality checks synchronized with ISO standards, diagnosing and resolving assembly defects.

Your Fit:

  • 3+ years in mechanical environments.
  • Proficient in reading and implementing technical documents.
  • Adept in both independent and team settings with a knack for communication.
  • Competence with various hand, pneumatic, and power tools.

Equal Employment Opportunity Statement:  
Ingersoll Rand is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.

Why Choose Us?

  • Energize your career with our robust benefits, from health plans to a 401(k) program.
  • Flourish in a culture that embraces individual well-being and community responsibility.

Apply by June 15th via our website and initiate your journey with Ingersoll Rand!"
5ec3923ed859d2be,Indeed,Laborer,Global 1st Flagship,Assembly Line Worker,in-person,Full-time,2025-04-16,2025-04-23,Philadelphia,PA,19112,hourly,21.05,21.05,43784.0,43784.0,43784.0,https://www.indeed.com/viewjob?jk=5ec3923ed859d2be,https://www.indeed.com/jobs?q=Assembly+Line+Worker&l=Philadelphia%2C+PA&radius=25&fromage=7,"Here at Global- a 1st Flagship Company (www.globalfirstflagship.com), a woman-owned small business, we believe in Individual Accountability, Growth, Integrity, and Respect. We are a leader in Marine Support Services and Emergency Management. Serving as the Department of Navy's trusted Prime Contractor since 1964, we embark on a thrilling mission, managing, operating, and maintaining the U.S. Navy Inactive Ship fleet across diverse locations, including Philadelphia, Bremerton, California, and Hawaii. The journey begins here, and we invite you to set sail with us and make a real impact in our dynamic and innovative work environment!

Buckle up for an adrenaline-fueled journey on military vessels such as destroyers, aircraft carriers, and an array of other awe-inspiring Navy vessels! Your golden opportunity for an exhilarating career is knocking - are you ready to answer the call? The journey begins here - with Global- a 1st Flagship Company, we are currently looking for a Laborer.

What You'll Be Doing:

  •     •       • Ties up vessels, cleans piers, vessel / craft decks, hulls, holds, compartments, engine rooms, magazines, bilges, and tanks. Performs vessel and craft preservation.
      • Prepares surfaces for preservation using chipping hammer scaling tools, hand scrapes, power equipment, and deck cleaning machines.
      • Applies proper preservation using paint brushes and paint rollers. Applies sealing compounds using hands, brush, or caulking tools.
      • Pumps tanks and bilges, installs and connects sump pumps, air driven reciprocating pumps, suction and discharge hoses.
      • Shall have physical strength and stamina required to resist the vibrations of pneumatic tools which operate on 90 pounds of compressed air pressure.
      • Assists Mechanical and Electrical trades as required.
      • Assists in rigging and attaching, hoisting and pulling gear.
      • Act as a Fire Watch during Hot Work evolutions.
      • Act as part of a riding crew and receives and moors or casts off vessels/craft at the facility.
      • Assigned to escort visitors including museum groups, military, subcontractors and government representatives as required.
      • Must qualify to wear a respirator.
      • May be required to travel up to 25% to conduct company business.
      • Must be familiar with the Standard Operating Procedures pertaining to environmental protection.
      • Adhere to all corporate core values, policies and procedures in the execution of all responsibilities.

What You'll Need to Succeed:

Minimum Qualifications:

Be able to follow written and verbal instructions. Must be able to work with a team.

  • Be able to demonstrate proper connection/assembly, adjustment and operation of electrical, mechanical and pneumatic equipment used for preservation and maintenance of vessels within 90 days of hire
  • May be required to qualify as a Fire Watch
  • May be required to qualify as a High Reach operator
  • May be required to qualify as a Forklift operator

Preferred Qualifications:

  • One-year previous Maritime or General Labor experience.
Driver's license 

Benefit Highlights Include:

  • Comprehensive Medical (Blue Shield PPO), Dental, and Vision Insurance
  • 11 Paid Holidays Per Year
  • 17 Days PTO/Sick Time Per Year
  • Matching 401K (50% Match up to 8%)
  • Employer Paid Life Insurance & Short Term/Long Term Disability
  • Tuition Reimbursement
  • Employee Assistance Plan (EAP)
  • Pet Insurance

Global- a 1st Flagship Company is an E-Verify and is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, gender expression, age, status as a protected veteran, among other things, or status as a qualified individual with disability."
