job_id,source,title,company,queried_job_title,work_setting,job_type,date_posted,date_scraped,city,state,zip,salary_period,salary_min,salary_max,salary_min_yearly,salary_max_yearly,salary_midpoint_yearly,job_url,search_url,job_description
bf84eb4e5f829942,Indeed,Driver,Aceolution,Delivery Driver,in-person,Temporary,2025-04-23,2025-04-23,Chicago,IL,,hourly,18.0,18.0,37440.0,37440.0,37440.0,https://www.indeed.com/viewjob?jk=bf84eb4e5f829942,https://www.indeed.com/jobs?q=Delivery+Driver&l=Chicago%2C+IL&radius=25&fromage=7,"We are looking for experienced car drivers with at least 4 years of professional driving experience to join our team. We will provide the vehicle and all necessary training for the project. This is a temporary contract position with a minimum of 40 hours per week (Monday to Friday), with 100% overtime available. Additional overtime opportunities are also available on Saturdays and Sundays.

Immediate joiners are encouraged to apply!

Key Responsibilities:

  • Vehicle and Equipment Maintenance: Ensure vehicle and mapping equipment are maintained, cleaned, and in optimal working condition. Conduct daily inspections of all equipment.
  • Daily Planning and Coordination: Follow the daily work plan, which includes tasks for the current day as well as preparation for the next. Work closely with the Coordinator to meet project deadlines and delivery goals.
  • Rig Security: Safely secure the rig at the start and end of each workday.
  • Incident Management: Handle incidents, including accidents and public interactions, in a professional and safe manner.
  • Data Collection: Safely and efficiently collect mapping data within designated zones using specialized equipment. Ensure high-quality data collection by monitoring image quality, cleaning lenses and LiDARs as needed, and addressing any issues as they arise.
  • Travel: Travel to job sites as required, which may include work outside the local area.
  • Inventory and Device Management: Manage and secure all mapping equipment and devices, ensuring proper inventory control.
  • Weather and Daylight Adaptability: Adjust work schedules based on daylight availability and weather conditions to ensure data collection is completed safely and efficiently.
  • Collaboration: Work with the Coordinator to meet project milestones and deliverables. Communicate effectively with the Client Help Desk to resolve collection issues.
  • Warehouse Support: Assist with warehouse tasks as needed, including equipment storage and inventory management.

Qualifications:

  • Should be at least twenty-five (25) years old with minimum 4 years of professional car driving experience with a clean driving record for the past 3 years.
  • Strong communication skills in English (both verbal and listening) with good attention to detail and ability to follow precise instructions.
  • Ability to work independently and manage time effectively.
  • Comfortable with travel and adapting to changing schedules.
  • Tech-savvy: Comfortable with iOS devices, and should be able to do Google Maps, emails, web browsing, and handling basic tech devices (e.g., hard drives).
  • Previous experience with mapping or surveying equipment is a plus but not required.
  • Excellent problem-solving skills and the ability to manage incidents as they arise.
  • Strong communication skills and the ability to work collaboratively with team members and clients.
  • Must pass a pre-employment background check.
  • Successful completion of a 2-day Driver Training Program.

Job Types: Full-time, Contract, Temporary

Pay: $18.00 per hour

Benefits:

  • Company car
  • Fuel card
  • Paid training
  • Referral program

Shift:

  • Day shift
  • Morning shift

Work Days:

  • Monday to Friday

Experience:

  • Driving: 4 years (Required)

Work Location: On the road"
,Indeed,Delivery Driver starting $21.50/hr,Clear Logistics LLC,Delivery Driver,in-person,Part-time,2025-04-18,2025-04-23,Skokie,IL,60076,hourly,21.5,21.75,44720.0,45240.0,44980.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DM19TxCSVHYzhFP341RltrOokXvn8FAj_2DvU54nVV6vTdUQdF_2inyU8OUqHBZMOnCleO1Wyp2o9V2kAoIFHGOly7n7CL50KtBJZnUSHfWoKG8FnmyEtW-CLdlKyREJ9x8R536q1qTr2fwK0Lrwx6Q4usHLg3cCMgkYxKFmggqizDOrGtST6mBZyHrdf4coNxxWo-te9h-lLShG1OfCY4DRAmdicAd1Kiq3IkXFq04KuejMoKNXsZy0OMenR4MbqWnJFrUUcbxgnf2FgL7f5CTISlMEissi96UFg8Pw6eLbyzfGN22X6rZBWkdasoK0qdw3-aPlOMMD2s2UV3yQM4fXUpmbvCHCly2AjJdpjXw_lyJ2MowFSSWMA-62tnKA2ZUSTPn9JIiJN62Dcuq-YasxfFryDKCW-jq9wPW1NVcSh_NUcSHjbRjlhf9U-xnN15L3z-E6dpcfPuCaAAJeQOiqcQtOuCEg7k2tao1I1Rs04HbE6KnkVimuvE5m0Ya2EPyf3mS4wjDttUqXiJeZ__fIJgT1K7nm3A9mmhLVYQEQyu59sR3qNz6-BlyHKR8wzdW1bR5DgTkhGo_YBwd4QiGStkRvaX-oC-8AzDtu9_i6TsOw5DTM1NmGyjPBUygsVBCZCCaEQ_DSlmsm7_bxPkmfFocMs9XwudF5MV_y49GY6wv1qEJQZg&xkcb=SoBV6_M3zyOABsSV1x0KbzkdCdPP&camk=ethIe0s0heci6oBn3jrRIA==&p=1&fvj=0&vjs=3,https://www.indeed.com/jobs?q=Delivery+Driver&l=Chicago%2C+IL&radius=25&fromage=7,"Clear Logistics is a Delivery Service Partner looking for enthusiastic, team players to deliver packages. Delivery Associates strive to get every order to the customer’s door on-time. We offer full and part-time opportunities.  
Company Vehicle Provided! No CDL Required!  
Approximate hours are 10 am to 7 pm. Shifts range between 8-10 hours per day and shifts are available 7 days per week.

Duties and Responsibilities

  • Safely drive and operate your delivery vehicle at all times.
  • Use hand held device for routing information, customer delivery information.
  • Navigate a variety of routes throughout delivery area.
  • Must be comfortable driving and working in varying weather conditions. Load and unload packages to be delivered
  • Be CUSTOMER OBSESSED!! We strive to deliver packages and smiles to our customers.
  • Perform the following tasks, with or without reasonable accommodation:
  • Lift packages up to 50 lbs.
  • Able to get in and out of van and walk up and down stairs through your shift

Approximate hours are 11 am to 8 pm. Shifts range between 8-10 hours per day and shifts are available 7 days per week.

Compensation & Benefits

  • $21.50/ Hour
  • Paid Training
  • Paid Overtime
  • Health Insurance and Benefits
  • Paid Time Off

Basic Requirements:

  • Eligible to work in the U.S
  • At least 21 years of age
  • IMMEDIATE OPENINGS AVAILABLE!!!We are an Equal Opportunity Employer. All qualified applicants will be considered for employment regardless of age, national origin, race, color, disability, religious beliefs, or sexual orientation.Location: 3639 Howard Street, Skokie, IL 60076

Job Types: Full-time, Part-time

Pay: $21.50 - $21.75 per hour

Benefits:

  • Paid training

Shift:

  • Morning shift

Work Days:

  • Every weekend
  • Monday to Friday
  • Weekends only

People with a criminal record are encouraged to apply

Ability to Commute:

  • Skokie, IL 60076 (Required)

Ability to Relocate:

  • Skokie, IL 60076: Relocate before starting work (Required)

Work Location: In person"
8e2fba5bc42c8698,Indeed,Bike Delivery Driver,Insomnia Cookies,Delivery Driver,in-person,Part-time,2025-04-17,2025-04-23,Chicago,IL,60610,hourly,11.02,11.02,22921.6,22921.6,22921.6,https://www.indeed.com/viewjob?jk=8e2fba5bc42c8698,https://www.indeed.com/jobs?q=Delivery+Driver&l=Chicago%2C+IL&radius=25&fromage=7,"As a Bike Delivery Driver at our Chicago store located at 1350 N Wells ST, Chicago IL 60610, you are our “Boots on the ground!”, and the main face that our Insomniacs see outside of the bakery! You give the word “Delivery” a whole new meaning by delivering the Cookie Magic to our fans wherever they are. 

SOME OUR SWEET DELIVERY DRIVER PERKS:

  • Pay rate: $11.02/hr. plus tips
  • Pay on Demand (why wait until the end of the week…get paid your earned wages at the end of the day!)
  • Small but busy delivery zones
  • Paid vacation and sick time off
  • Flexible part-time work schedules
  • Pet insurance for your furry loved ones
  • Job stability with a rapidly growing and reputable company
  • Achievable growth/promotion opportunities
  • FREE cookies with every shift!

WHAT WILL I DO AS A DELIVERY DRIVER?

  • Check orders for quality and accuracy before they leave the store.
  • Deliver our cookies, milk and ice cream to our loyal fan base, in a timely and safe fashion.
  • Provide quality customer service through positive and professional interaction with customers whether in-person or by phone.
  • Use Insomnia’s delivery app to approved company standards and provide accurate status updates to customers.

DESIRED SKILLS/EXPERIENCE:

  • Excellent time management and organizational skills
  • Knowledge of the 2-mile radius surrounding the store is a plus!
  • Must have your own bike in working order
  • Must have a smartphone with data plan
  • Must be legally eligible to work in the United States
  • Must be 18 years or older to be employed

About us: 

Insomnia Cookies was founded in a college dorm room by then-student, Seth Berkowitz. Fast forward 20 years and so... many....cookies... later, our innovative bakery + delivery concept has become a cult brand known for its rabid following of cookie lovers who crave Insomnia’s warm, delicious delivery all day and late into the night. With an expanding footprint of over 300 stores globally, an experiential, “sweet-easy” concept as the brand’s flagship in Philadelphia, Pa. (where Insomnia Cookies is headquartered), and a rapidly-growing nationwide shipping and gifting portfolio... Insomnia Cookies is revolutionizing the cookie game by truly ""Imagining What’s Possible""!"
85e557019b662ea8,Indeed,Delivery Driver,Time to Eat North Al,Delivery Driver,in-person,Part-time,2025-04-20,2025-04-23,Chicago,IL,60615,hourly,23.0,30.0,47840.0,62400.0,55120.0,https://www.indeed.com/viewjob?jk=85e557019b662ea8,https://www.indeed.com/jobs?q=Delivery+Driver&l=Chicago%2C+IL&radius=25&fromage=7,"We are looking for several drivers in the Chicago, IL area that have open availability and a personal vehicle to use for delivery as well as great customer service.

We kindly request that you have a valid Driver's License, Reliable Vehicle, and Insurance. Also, a cell phone capable of downloading and operating our delivery driver app. The job entails delivering items to a customer's personal location while remaining organized to get orders delivered on time!

Job Types: Full-time, Part-time, Contract

Pay: $23.00 - $30.00 per hour

Benefits:

  • Flexible schedule

Schedule:

  • 10 hour shift
  • 12 hour shift
  • 8 hour shift
  • Day shift
  • Holidays
  • Monday to Friday
  • Night shift
  • Weekends as needed

Work Location: In person"
80fae3d1f673d016,Indeed,ORD1 -Central Chicago - Delivery Partner,Fetch,Delivery Driver,in-person,Freelance,2025-04-23,2025-04-23,Chicago,IL,60612,hourly,17.0,20.0,35360.0,41600.0,38480.0,https://www.indeed.com/viewjob?jk=80fae3d1f673d016,https://www.indeed.com/jobs?q=Delivery+Driver&l=Chicago%2C+IL&radius=25&fromage=7,"As a Delivery Partner, you will be responsible for picking up packages from the Fetch facilities and delivering them to apartment communities during your chosen delivery time block.

We’re looking for Delivery Partners who share our belief in people taking care of people. We want Delivery Partners that will find excitement in cultivating their own fans and take the extra step to ensure our customers' goods are safely delivered to their homes.

If this sounds like you, check out what you’ll need and the benefits of becoming a Delivery Partner below. We’re excited to hear from you!

Why become a Delivery Partner?

  • You choose your delivery time blocks

  • Drive fewer miles and make more money!

What You'll Do

  • Pick up packages from a Fetch Facility and deliver to apartment residents during your chosen delivery time block.

What You'll Need

  • A Sedan, Van, Truck, or Cargo Vehicle

  • A valid driver's license

  • Valid car insurance

  • Smart phone (iPhone or Android)

  • The physical capability of handling up to 70 pounds

What We're Looking For

  • The ability to thrive in a fast-paced environment

  • A strong communicator

  • Someone with confidence in customer interaction

  • The willingness to adapt in unpredictable situations

  • Detail-oriented practices towards the work involved

  • Organizational strategy when dealing with package loads

  • Someone who is eager to provide the Fetch Experience"
991bd9141ecc5f9c,Indeed,Construction Straight Truck Driver / Laborer,General Contractor,Delivery Driver,in-person,Full-time,2025-04-21,2025-04-23,Bridgeview,IL,60455,hourly,20.0,20.0,41600.0,41600.0,41600.0,https://www.indeed.com/viewjob?jk=991bd9141ecc5f9c,https://www.indeed.com/jobs?q=Delivery+Driver&l=Chicago%2C+IL&radius=25&fromage=7,"Construction Straight Truck Driver & Laborer  
Full-Time • Weekdays • Hourly Pay + Overtime Possibilities  
Usual Hours: 8:00 AM – 4:30 PM (Earlier Starts Normal)

About Us:  
We’re a reputable family-run general contracting company that’s been serving the Chicagoland area for over 20+ years. We take pride in the work we do and care about the people we do it with. Our crew is tight-knit, hardworking, and always looking out for each other. If you like working with your hands, staying busy, and being part of a team that gets things done the right way—this might be your kind of place.

Pay & Perks:

  • Starting at $20/hour, with quarterly reviews
  • Health insurance (monthly allowance)
  • Paid vacation, sick days, and holidays
  • full-time hours

What We’re Looking For:

  • 18 years or older
  • Valid IL Driver’s License
  • Clean driving record
  • MUST pass a drug screen & background check
  • Can speak and write fluent English
  • Able to lift/move up to 75 lbs, bend, squat, and reach without issues
  • Comfortable loading/unloading trucks safely

What You’ll Be Doing:  
You’ll mostly be driving a 16' box truck around the city, picking up and delivering materials between our warehouse, vendors, and jobsites. You’ll also help clean up job sites, handle debris disposal, assist with basic furniture moves, and help out around the shop when needed. This job keeps you moving, and there’s always something different to do.

Day-to-Day Might Include:

  • Driving box truck around the city and suburbs
  • Choosing efficient routes and driving safely
  • Loading and unloading materials
  • Helping clean out construction sites and hauling away debris
  • Supporting small demolition work
  • Keeping the company vehicles clean and fueled.
  • Operating forklift (we’ll train you if needed)
  • Helping keep the warehouse and office clean and organized

Bottom Line:  
We’re looking for someone dependable, energetic, and ready to pitch in wherever needed. We require a strong work ethic, a clean driving record, and the desire to be part of a crew that works hard and takes pride in what we do.

Job Type: Full-time

Pay: From $20.00 per hour

Expected hours: 40 per week

Benefits:

  • Health insurance
  • Paid time off

Schedule:

  • 8 hour shift
  • Monday to Friday
  • Overtime

Work Location: In person"
57592e4b042c5e8a,Indeed,Delivery Driver,FULFLLD,Delivery Driver,in-person,Part-time,2025-04-22,2025-04-23,Chicago,IL,60622,,,,,,,https://www.indeed.com/viewjob?jk=57592e4b042c5e8a,https://www.indeed.com/jobs?q=Delivery+Driver&l=Chicago%2C+IL&radius=25&fromage=7,"Earn up to $400 per week doing a quick part-time job! 

FULFLLD is a trusted delivery and fleet management software. We specialize in providing our clients with superior tools for point-to-point, routed, and on-demand delivery services.

We are hiring part-time Delivery Drivers to pick up items from 917 N Ashland Ave Chicago, IL 60622, and deliver them to designated locations.

  • Payment: $7.39 per stop and $0.38 per mileage
  • Potential Weekly Earnings: From $300 to $400
  • Schedule: Tuesday, Thursday and Sunday, from 1 PM to 5 PM
  • Vehicle: Sedan or SUV; no pick-up trucks
  • Delivery Style: 1 pick-up = multiple drop-off
  • Must-Have: Catering bags

Requirements

  • 18 years or older
  • Valid work authorization
  • HS diploma or equivalent
  • Valid Driver's License and up-to-date car insurance.
  • Smartphone with downloadable app capability and experience working with routing tools
  • Fluent in English
  • No DUI or excessive points on license
  • Subject to drug testing
  • Great to have: previous delivery experience, know your local city well, no problems following protocols, safety-first mindset, extraordinary attention to detail, and ability to work in a fast-paced environment

Benefits

  • Earn a competitive salary that values your skills and experience.
  • Unlock more work opportunities to enhance your career growth.
  • Get a $40 bonus for every driver you refer – share the opportunity and get rewarded!

Not your location? Sign up below and we'll notify you when a vacancy opens near you.

https://drivers.fulflld.com/

Job Type: Part-time

Pay: $300.00 - $4,000.00 per week

Benefits:

  • Mileage reimbursement

Shift:

  • Day shift

Work Days:

  • Monday to Friday
  • Weekends as needed

Work Location: In person"
690b1634a2d98ef6,Indeed,Delivery Team Associate,Walmart,Delivery Driver,in-person,Full-time,2025-04-17,2025-04-23,Cicero,IL,60804,hourly,17.0,30.0,35360.0,62400.0,48880.0,https://www.indeed.com/viewjob?jk=690b1634a2d98ef6,https://www.indeed.com/jobs?q=Delivery+Driver&l=Chicago%2C+IL&radius=25&fromage=7,"Hourly Wage: $17 - $30 per/hour   

  • The actual hourly rate will equal or exceed the required minimum wage applicable to the job location.

Additional compensation includes annual or quarterly performance incentives.   
Additional compensation in the form of premiums may be paid in amounts ranging from $0.35 per hour to $3.00 per hour in specific circumstances. Premiums may be based on schedule, facility, season, or specific work performed. Multiple premiums may apply if applicable criteria are met.  

Employment Type: Full-Time

Available shifts: Mid-Shift, Closing

Location

Walmart Supercenter #3004   
3320 S CICERO AVE, CICERO, IL, 60804, US

Job Overview  

Delivery Associates support the Online Grocery Delivery/Pick-Up department in Walmart stores. They load and unload product from their vehicle, deliver the merchandise, and confirm delivery with customers to ensure our products are meeting their needs.

Benefits & perks

At Walmart, we offer competitive pay as well as performance-based incentive awards and other great benefits for a happier mind, body, and wallet. Health benefits include medical, vision and dental coverage. Financial benefits include 401(k), stock purchase and company-paid life insurance. Paid time off benefits include parental leave, family care leave, bereavement, jury duty, and voting. Other benefits include short-term and long-term disability, company discounts, Military Leave Pay, adoption and surrogacy expense reimbursement, and more.  

You will also receive PTO and/or PPTO that can be used for vacation, sick leave, holidays, or other purposes. The amount you receive depends on your job classification and length of employment. It will meet or exceed the requirements of paid sick leave laws, where applicable. For information about PTO, see Smart Guide page  

Live Better U is a Walmart-paid education benefit program for full-time and part-time associates in Walmart and Sam's Club facilities. Programs range from high school completion to bachelor's degrees, including English Language Learning and short-form certificates. Tuition, books, and fees are completely paid for by Walmart.  

Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to a specific plan or program terms. For information about benefits and eligibility, see One.Walmart.com."
17f5af8c28e98b6c,Indeed,Delivery Driver/Warehouse,"Lenova, Inc.",Delivery Driver,in-person,Contract,2025-04-17,2025-04-23,Hillside,IL,60162,hourly,16.0,17.0,33280.0,35360.0,34320.0,https://www.indeed.com/viewjob?jk=17f5af8c28e98b6c,https://www.indeed.com/jobs?q=Delivery+Driver&l=Chicago%2C+IL&radius=25&fromage=7,"We currently have an opening for a Delivery Driver/Warehouse staff member. who is organized, self-motivated team player.

Main Delivery Driver/Warehouse responsibilities will include:

  • Driving and accurate delivery of product to customers
  • Loading truck
  • Assisting in checking orders prior to loading truck, as needed
  • Assisting in warehouse, as needed

DELIVERY DRIVER/WAREHOUSE REQUIREMENTS:

  • Valid rivers license with acceptable MVR; must be insurable
  • Ability to lift 50 pounds
  • Ability to learn route and make deliveries in a timely manner
  • Professional appearance; ability to be respectful and courteous to customers at all times
  • Ability to complete appropriate paperwork relating to orders and deliveries
  • Positive, “can do” attitude
  • High school diploma or equivalent

Job Type: Full-time

Job Types: Full-time, Contract

Pay: $16.00 - $17.00 per hour

Benefits:

  • Paid time off

Shift:

  • 8 hour shift

Work Days:

  • Monday to Friday

Shift availability:

  • Day Shift (Required)

Ability to Commute:

  • Hillside, IL 60162 (Required)

Ability to Relocate:

  • Hillside, IL 60162: Relocate before starting work (Required)

Work Location: In person"
c6d86fe3d8daa80f,Indeed,Delivery Driver,Domino's Franchise,Delivery Driver,in-person,Full-time,2025-04-21,2025-04-23,Chicago,IL,60607,,,,,,,https://www.indeed.com/viewjob?jk=c6d86fe3d8daa80f,https://www.indeed.com/jobs?q=Delivery+Driver&l=Chicago%2C+IL&radius=25&fromage=7,"Job Description

ABOUT THE JOB

Do you know why Domino's Pizza hires so many drivers? Well, aside from the fact that our delicious pizza is the perfect solution for dinner for families all across the nation - we do it because we can. What do we mean by that, you ask? We mean that we offer a great flexible schedule that offers the hours you're looking for. That means you're free when you need to be. You'll have plenty of time left over for school, to hang with your friends, or whatever. Even if you need a second job for some extra cash, Domino's Pizza is the perfect place for you.

Right now Domino's is looking for qualified drivers to staff stores in your area. We're growing so fast it's hard to keep up, and that means Domino's has lots of ways for you to grow (if that's what you want), perhaps to management, perhaps beyond. Whether it's your hobby, main-gig, or supplemental job, apply online. We're bound to have just the thing for you.

JOB REQUIREMENTS AND DUTIES

You must be 18 years of age and have a valid driver's license with a safe driving record meeting company standards as well as access to an insured vehicle which can be used for delivery. You should possess navigational skills to read a map, locate addresses within designated delivery area and must be able to navigate adverse terrain including multi-story buildings.

.

ADVANCEMENT

Many of our team members began their careers as delivery drivers and today are successful Domino's franchise owners. From delivery driver to management, general manager to franchisee or Manager Corporate Operations, our stores offer a world of opportunity.

DIVERSITY

Our mission is to recognize, appreciate, value and utilize the unique talents and contributions of all individuals. To create an environment where all team members, because of their differences, can reach their highest potential.

SUMMARY STATEMENT

We take pride in our team members and our team members take pride in Domino's Pizza! Being the best pizza delivery company in the world requires exceptional team members working together. At Domino's Pizza, our people come first!

Additional Information

At Domino's, we are a brand of honesty, transparency and accountability and we want exceptional people like you to join our team! We have continued to prove we “Put our People First” by making sure our work environment is safe and provides stability for you as a team member. The brand continues to deliver the “Power of Possible” to local Domino’s store owners, 90% of which started as delivery drivers and pizza makers in our stores!"
