job_id,source,title,company,queried_job_title,work_setting,job_type,date_posted,date_scraped,city,state,zip,salary_period,salary_min,salary_max,salary_min_yearly,salary_max_yearly,salary_midpoint_yearly,job_url,search_url,job_description
c95689deecfb2d16,Indeed,Delivery Drivers Needed,SB Distribution,Delivery Driver,in-person,Full-time,2025-04-21,2025-04-23,Los Angeles,CA,90039,hourly,21.5,21.5,44720.0,44720.0,44720.0,https://www.indeed.com/viewjob?jk=c95689deecfb2d16,https://www.indeed.com/jobs?q=Delivery+Driver&l=Los+Angeles%2C+CA&radius=25&fromage=7,"NOW HIRING! SB Distribution is looking for a hard working and determined individual to be a delivery driver for Amazon packages. You’ll be a delivery driver for in a safe, comfortable van while using the latest technology to locate and deliver packages whether you are looking for a career or to earn extra cash. We offer full-time opportunities that are flexible for your life. Being a delivery driver for the Amazon team is exciting.

Need to be 21 yrs, valid driver’s license and consent to a drug test (WE DO NOT TEST FOR MARIJUANA). Full Time Time positions working 4 to 5 Days a week.

Job Types: Full-time

$21.50/hour

***THIS WILL BE TO DELIVER OUT OF DLX5-GLENDALE***

Job Type: Full-time

Pay: $21.50 per hour

Benefits:

  • 401(k)
  • Flexible schedule
  • Health insurance
  • Paid time off
  • Paid training

Shift:

  • 10 hour shift
  • 8 hour shift
  • Day shift

Work Days:

  • Weekends as needed

License/Certification:

  • Driver's License (Required)

Shift availability:

  • Day Shift (Preferred)

Ability to Commute:

  • Los Angeles, CA 90039 (Required)

Work Location: In person"
9219d7862deca3ce,Indeed,Delivery Driver - Upto $21.50/hr - Los Angeles,Boxes On The Move,Delivery Driver,in-person,Part-time,2025-04-23,2025-04-23,Glendale,CA,,hourly,21.5,21.5,44720.0,44720.0,44720.0,https://www.indeed.com/viewjob?jk=9219d7862deca3ce,https://www.indeed.com/jobs?q=Delivery+Driver&l=Los+Angeles%2C+CA&radius=25&fromage=7,"Delivery Driver Associate - $21.50/hr - Los Angeles,CA

Please call or text for more details and Interview - (323) 282-7773

Become a Delivery Driver Associate with Boxes On the Move, an Amazon Delivery Service Partner

Compensation: $21.50 Per Hour

Boxes On The Move (BOTM) is an Amazon Delivery Service Partner, that is looking to hire reliable and motivated team members! BOTM is searching for dedicated individuals who can work independently, have a “can-do” attitude, and thrive in a fast-paced, team environment. As a Delivery Associate, you will be the face of the company. It will be your job to consistently exceed customer expectations by ensuring all orders are delivered with a smile, on time, safely, and with attention to detail. Currently, we are looking to fill full-time driving positions in and around glendale and the surrounding area.

Delivery Driver Associate Responsibilities:

· Load vans and deliver packages by driving, climbing in and out of the vehicle, and walking upstairs and through driveways in all weather conditions, and deliver packages safely and punctually

· You can expect to work about 4-5 days per week and up to 10 hours per day.

· Follow strict safety standards on and off the road

· Operate an electronic device for GPS and daily records

· Deliver 200-250 packages per day

· Have a positive can-do attitude

Why You’ll Love Working for BOTM:

· Earn more: Competitive Compensation plus Performance Incentives

· Compelling Benefits: Health insurance, 401K; Profit-sharing; Paid time off for all full-time employees

· Independence: spend the majority of your day on the road delivering smiles to customers

· Stay active: you’ll be on the move during your shift as you deliver packages from the delivery vehicle to the customer’s doorstep

· Professional growth: career growth opportunities such as moving into Lead Driver, Dispatcher, or Operations Manager roles, DOT certification, and professional development and training

· Team environment: a fun, fast-paced, and supportive company culture

Delivery Driver Requirements:

We provide on-the-job training so that all of our employees feel confident on the road and on the doorsteps of customers. Health and safety are always a top priority. In partnership with one another, Amazon and BOTM continue to consult with medical and health experts and take all recommended precautions to keep everyone healthy.

· Must be at least 21 years old

· Must have a valid driver's license within the state of employment (a commercial driver’s license (CDL) is not required)

· Must be able to move boxes up to 50 lbs., with or without reasonable accommodation

· Must accept text messages from Company managers and other authorized Company employees regarding your schedule, performance, and other Company matters on your personal cell phone

What is an Amazon delivery service partner?

Amazon has partnered with local Delivery Service Partners (DSPs), independent delivery organizations that help Amazon deliver thousands of packages to customers every day. As an employee of an Amazon delivery service partner (DSP), you will work directly for BOTM which operates out of a local Amazon delivery station.

BOTM is an Equal Opportunity Employer. All qualified applicants will be considered for employment regardless of age, national origin, race, color, disability, religious beliefs, or sexual orientation.  
Hide

Job Types: Full-time, Part-time

Pay: From $21.50 per hour

Benefits:

  • 401(k)
  • 401(k) matching
  • Flexible schedule
  • Health insurance
  • Paid time off
  • Paid training

Shift:

  • 10 hour shift
  • 12 hour shift
  • 8 hour shift
  • Day shift
  • No nights

Work Days:

  • Holidays
  • Weekends as needed

Work Location: On the road"
8c668dea05ddc0d0,Indeed,Flower Delivery Drivers Needed for Busy Holiday Week,French Florist,Delivery Driver,in-person,Temporary,2025-04-21,2025-04-23,Los Angeles,CA,90035,hourly,25.0,25.0,52000.0,52000.0,52000.0,https://www.indeed.com/viewjob?jk=8c668dea05ddc0d0,https://www.indeed.com/jobs?q=Delivery+Driver&l=Los+Angeles%2C+CA&radius=25&fromage=7,"Busy flower shop needs drivers to make deliveries in your own vehicle for the week that includes Mother's Day. We have opportunities to join us for several days of delivery work and while this is a temporary position, most of the regular delivery drivers that we work with started out on a holiday.

Fun, enjoyable work because everyone LOVES receiving flowers!

The special pay rate for the holiday is $25 per hour. Drivers for the holiday work as independent contractors so you can set your schedule and work as many or as few hours as you like. Drivers use their own car to make deliveries on organized routes all around the greater LA area and can drive as many as 80-100 miles a day if you do a full day.

This work is best for people who are savvy at parking, keen at navigation, and who have an economical car. The hours and days always fit within your availability so this could work well while doing another job. We have morning, afternoon or double shifts available each day.

Looking for people who are definitely available all day on Sunday May 11 for Mother's Day. We’ll have work for you on the days leading up to that day as well but you must have open availability on the 11th for this to work, as that’s the day we’re all gearing up for with each day coming up to it.

Once you apply, we’ll reach out to you by phone to get you more and invite you to come out to our orientation. The orientation is a paid training where you get to do a few deliveries to try out the work and make sure it’s for you.

We have 3 store locations. Our main store is in the Pico/Robertson area of Los Angeles, and we have two smaller locations in Costa Mesa and Westlake Village so feel free to apply if you’re closer to one of those locations as well, because we’ll need some people for each store, but the most work by far will be available in the city of Los Angeles.

We’ll be calling people back starting Monday, April 28, and onboarding this week, so apply soon to be sure you’re on the top of the list!

Job Types: Full-time, Part-time, Contract, Temporary, Seasonal

Pay: $25.00 per hour

Work Location: On the road"
aee1263d2077df65,Indeed,No experience | Regional OTR Class A Driver,GORSHI INC,Delivery Driver,in-person,Full-time,2025-04-18,2025-04-23,Los Angeles,CA,,weekly,1200.0,1500.0,62400.0,78000.0,70200.0,https://www.indeed.com/viewjob?jk=aee1263d2077df65,https://www.indeed.com/jobs?q=Delivery+Driver&l=Los+Angeles%2C+CA&radius=25&fromage=7,"OTR Dry Van Driver - No Experience Required

Location: Los Angeles, CA

Call: Jessica Brown (866) 828-4074 for immediate consideration!

Why Drive with Us?  
We are seeking motivated Class A CDL drivers to join our Over-the-Road (OTR) team. Whether you’re a recent graduate looking to gain experience or an experienced driver seeking a stable, well-paying position, we offer comprehensive paid training, competitive weekly pay, and excellent benefits. Enjoy modern equipment, a supportive work environment, and strong career growth opportunities.

What We Offer:

  • Average Weekly Earnings: $1,200-1,500
  • Short haul Pay: $20
  • Stop pay: $15 per load
  • Training: Paid training program (4–6 weeks) for No Experience
  • Bonuses: Monthly performance-based bonuses
  • Shifts: Day and night shifts available
  • Home Time: Every two weeks with two full days off

Freight & Equipment:

  • Freight Type: 100% no-touch freight (preload, live load/unload, drop & hook)
  • Equipment: Automatic transmission trucks (average age: 1.5 years)
  • Mileage: 2,500-3,000 miles per week

Requirements:

  • Valid CDL-A License (Recent grads must have completed at least 120 hours of CDL school)
  • No Experience Required (Training provided)
  • Must be 21+ years old
  • Clean Drug Screening (hair & urine)
  • Clean Background Check (no at-fault accidents, DUIs, or felonies)
  • All driving violations will be reviewed

Primary Duties

  • Operate trucks to deliver freight safely throughout the 48 continental states (including Dry Van, Reefer, or Flatbed loads)
  • Conduct thorough pre-trip and post-trip inspections to confirm vehicle readiness and safety
  • Keep precise records and follow all internal procedures and guidelines
  • Maintain clear and professional communication with dispatch and clients
  • Follow all Department of Transportation (DOT) regulations and obey traffic laws at all times

Why Join Us?

  • Comprehensive paid training for new CDL holders
  • Competitive weekly pay with performance incentives
  • Modern equipment and strong safety culture
  • Career advancement with yearly pay increases

Interested?

Call: Jessica Brown (866) 828-4074 for immediate consideration!

Job Type: Full-time

Pay: $1,200.00 - $1,500.00 per week

Benefits:

  • 401(k)
  • 401(k) matching
  • AD&D insurance
  • Dental insurance
  • Employee assistance program
  • Employee stock purchase plan
  • Fuel card
  • Health insurance
  • Health savings account
  • Life insurance
  • Paid orientation
  • Paid toll fees
  • Paid training
  • Passenger ride along program
  • Pet rider program
  • Prescription drug insurance
  • Retirement plan
  • Tuition reimbursement
  • Vision insurance

Supplemental Pay:

  • Bonus opportunities
  • Breakdown pay
  • Extra stop pay
  • Monthly bonus
  • Performance bonus
  • Safety bonus
  • Yearly bonus

Trucking Driver Type:

  • Company driver
  • Solo driver
  • Team driver

Trucking Route:

  • OTR
  • Regional

Work Days:

  • Every other weekend
  • Rotating weekends

People with a criminal record are encouraged to apply

Application Question(s):

  • What is the name of your Trucking School?
  • What is your Zip Code?

Work Location: On the road"
,Indeed,Delivery Driver - Company Van,Deliver-it,Delivery Driver,in-person,Full-time,2025-04-21,2025-04-23,Inglewood,CA,90303,hourly,17.28,26.0,35942.4,54080.0,45011.2,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHov6IDMmQlDeNjvuECwCLBDTb1CC9vVjtZLEJMEzu4fsgkPnZUkc0xXOSFu-EFYI_DDUoWHNNUnnAW-zEKkbKfiQoaDsRMgVgtoi3N7G10tHxrQA5uLEat1iy2CvJaHf6Alc_mESYG2PiE25W7eTt4cBQPQiFrH2iJ3LhR4p_l0C07f5LPEZDEhEPmYDu7Mx38ZkHcj5UihvMzLd1O_bDBktCyL1i4jLsPgXgnruntmTyXfSsQC1xgj7nXA00xY2jZeCqYHO-we4at8H3eDEsTBa0UdK9waS_KALGvZMbnAfqy2HJ1mZmWpmXs84_1yL6lmIBWFLzjTHwkz-j4GmAg-iSnb1xKiJrSF6GXVA6fGuQLRuTEEuKu_qV8eKo-JSNIrx3lYEMPkDRbMl3uF6zhu9PjjqtXRglK1y-lwEiRoYZ7EBxRYtCW9Fnr9ECSHwFyrRv3AFnAia1tZzCMRUW_gVccct7GxoEFpp_vSmc_lP4AuFfssFaz4S3_FztYeWEW7Ub8dVZq5ozWPi7uZVjujKDQX1nje0w_Cq_m9j0o3ZSYUo0QoPoo4aRcX5E1zUrBxI9jMvMLewPp6mL4BRWTJ430kGE_f6Z7JBXc4txJP39i5M3dBfHw3aT027ZOPDv6SwC4mAS6CTXy46Mylt2M7_PK3vreE_IHDyxyM9z3OHQ_GYll1ZN&xkcb=SoDs6_M3zyNKP5xNYZ0PbzkdCdPP&camk=ethIe0s0hef431A8n-HrKA==&p=4&fvj=0&vjs=3,https://www.indeed.com/jobs?q=Delivery+Driver&l=Los+Angeles%2C+CA&radius=25&fromage=7,"COMPANY VAN DRIVER

Make Your Own Road; The Only Limit Is Yourself

Come Be a Part of Our Story… Best Team, Best Opportunity, Best DELIVERY!

At DI Logistics we are busier than ever and looking for people to drive our company van. We offer our drivers a competitive compensation plan that rewards high productivity and individual performance. As you continue to grow with the Company, develop and refine your skills, your compensation can grow substantially.

Benefits of the Job:

  • Full Time positions available
  • Start early, finish early
  • Each driver provided a company-owned van
  • Insurance coverage provided
  • Fuel / Gas and Maintenance Paid by the Company
  • PPE and Uniforms Provided
  • Awesome Benefit Plans to choose from: (4) Medical Plans, (3) Dental Plans, Vision Plan, Company Paid Life & AD &D Insurance, Voluntary Life for family, and 401(k) Plan
  • Training paid for by the Company

Job Duties:

  • Safely drive and operate the company vehicle
  • Provide unparalleled customer service
  • Loading and unloading packages safely
  • Ability to work quickly and accurately
  • Keep accurate data by using the company application

Requirements:

  • Must be 21 years or older
  • Valid Driver’s License (all classes) and clean DMV record
  • Shifts are Monday-Friday (Saturdays on call)
  • Use your own smartphone (iPhone or Android) and receive reimbursement
  • Ability to lift and carry up to 35 lbs.

DI Logistics provides equal employment opportunities (EEO) to all applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws and complies with applicable state and local laws governing non-discrimination in employment in every location in which the Company operates. This policy applies to all terms and conditions of employment, including, but not limited to, hiring, placement, promotion, termination, layoff, transfer, leaves of absence, compensation, and training.

Job Type: Full-time

Pay: $17.28 - $26.00 per hour

Benefits:

  • 401(k)
  • Dental insurance
  • Health insurance
  • Paid training
  • Vision insurance

Work Days:

  • Monday to Friday
  • Weekends as needed

Experience:

  • Delivery Driver: 1 year (Preferred)

License/Certification:

  • Driver's License (Preferred)

Work Location: In person"
0561bdb481bf857c,Indeed,Delivery Driver/Warehouse,Intermountain Lock and Security Supply,Delivery Driver,in-person,Full-time,2025-04-23,2025-04-23,Burbank,CA,91505,hourly,20.0,22.0,41600.0,45760.0,43680.0,https://www.indeed.com/viewjob?jk=0561bdb481bf857c,https://www.indeed.com/jobs?q=Delivery+Driver&l=Los+Angeles%2C+CA&radius=25&fromage=7,"We are looking for a dependable, self-starting individual to join our warehouse team. All applicants must have a clean driving record. Duties include, but are not limited to, picking orders, stocking shelves, boxing, shipping, receiving and keeping our warehouse clean and efficient. Experience driving non-CDL box truck helpful.

Basic requirements

  • Working knowledge of warehouse procedures.
  • Experience with UPS shipping software a plus.
  • Positive attitude and strong work ethic.
  • Receiving experience helpful.
  • Clean driving record.

Our people make the difference and together we will succeed, come join our team!

At IMLSS, you’ll have every chance to learn, grow, and find success. Competitive wages and a generous benefits package are only the beginning. Accountability and professionalism are required while achievement is recognized and rewarded.

The IMLSS culture encourages promotions from within and allows our people the flexibility to find their own way to the top. We challenge you to treat your job as though it’s your own business and to grow it as you would if your name was on the door.

Job Type: Full-time

Pay: $20.00 - $22.00 per hour

Benefits:

  • 401(k)
  • 401(k) matching
  • Dental insurance
  • Flexible spending account
  • Health insurance
  • Life insurance
  • Paid time off
  • Vision insurance

Schedule:

  • Day shift
  • Monday to Friday

Ability to Commute:

  • Burbank, CA 91505 (Preferred)

Work Location: In person"
c92ffba39fb6eb89,Indeed,Delivery Driver(08153) - 433 N. Glenoaks Blvd.,Domino's Franchise,Delivery Driver,in-person,Full-time,2025-04-19,2025-04-23,Burbank,CA,91502,,,,,,,https://www.indeed.com/viewjob?jk=c92ffba39fb6eb89,https://www.indeed.com/jobs?q=Delivery+Driver&l=Los+Angeles%2C+CA&radius=25&fromage=7,"Job Description

The following general description applies to all hourly store team member. Please read the detailed information listed below

Customer Service Representative

JOB DUTIES

  • Operate all equipment, Stock ingredients from delivery area to storage, work area, walk-in cooler, Prepare all products, Use all proprietary technology, Receive and process telephone orders, Take inventory and complete associated paperwork, Clean equipment and facility approximately daily, Responsible for continued on the job training for any and all new products, Must have good communication Skills, Ability to communicate verbally with customers and co-workers to process orders both over the phone and in person.

ESSENTIAL FUNCTION/SKILLS

Ability to add, subtract, multiply, and divide accurately and quickly (may use calculator). Must be able to make correct monetary change. Verbal, writing, and telephone skills to take and process orders. Motor coordination between eyes and hands/fingers to make precise movements rapidly and accurately with speed. Ability to enter orders using a computer keyboard or touch screen.

Work Conditions

EXPOSURE TO: Varying and sometimes adverse weather conditions when removing trash and performing other outside tasks. In-store temperatures range from 36 degrees in cooler to 90 degrees and above in some work areas. Sudden changes in temperature in work area and while outside. Fumes from food odors. Exposure to cornmeal dust. Cramped quarters including walk-in cooler. Hot surfaces/tools from over up to 500 degrees or higher. Sharp edges and moving mechanical parts.

SENSING: Talking and hearing on the telephone. Near and mid-range vision for most in-store tasks. Depth perception. Ability to differentiate between hot and cold surfaces.

TEMPERMENTS: The ability to direct activities, perform repetitive tasks, work along and with others, work under stress, meet strict quality control standards, deal with people, analyze and compile data, make judgments and decisions.

STANDING: Most tasks are performed from a standing position. Walking surfaces include ceramic tile “bricks” with linoleum in some food process areas. Height of work surfaces is between 36” and 48”.

WALKING: Walking is generally in short distances for short durations. Delivery personnel must travel between the store and the delivery vehicle and from the delivery vehicle to the customer’s location.

SITTING: Paperwork is normally completed in an office at a desk or table.

LIFTING: Bulk product deliveries are made twice a week or more and are unloaded by the team member using a hand truck. Deliveries may include cases of ingredients and supplies weighing up to 50 pounds with dimensions of up to 3’ x 1.5’. Cases are usually lifted from floor and stacking onto shelves up to 72” high.

CARRYING: Large cans, weighing 3 pounds, 7 ounces, are carried from the workstation to storage shelves. Occasionally, pizza sauce weighing 30 pounds is carried form the storage room to the front of the store. Trays of pizza dough are carried three at a time over short distances and weigh approximately 12 pounds per tray. During delivery, carry pizzas, sides, and beverages while performing “walking” and “climbing” duties.

DRIVING: Deliver pizzas within a designated delivery area. A team member may make several deliveries per shift.

PUSHING: Pushing is performed to move trays which are placed on dollies. A stack of trays on a dolly is approximately 24”-30” and requires a force of up to 7.5 pounds to push. Trays may also be pulled.

CLIMBING: Team members must infrequently navigate stairs or climb a ladder to change prices on signs, wash walls, perform maintenance. During delivery of product, navigation of five or more flights of stairs may be required.

STOOPING/BENDING: Forward bending at the waist is necessary at the pizza assembly station. Toe room is present, but workers are unable to flex their knees while standing at this station. Duration of this position is approximately 40-45 seconds at a time, repeated continuously during the day. Forward bending is also present at the front counter when stocking ingredients.

CROUCHING/SQUATTING: Performed occasionally to stock shelves and to clean low areas.

REACHING: Reaching is performed continuously; up, down, and forward. Workers reach above 72” occasionally to turn on/off oven controls, change prices on sign, and lift and lower objects to and from shelves. Workers reaching down to perform such tasks as scooping cornmeal from a plastic barrel or washing dishes. Workers reach forward when obtaining topping ingredients, cleaning work surfaces, or answering phones.

HAND TASKS: Eye-hand coordination is essential. Use of hands is continuous during the day. Frequently activities require use of one or both hands. Shaping pizza dough requires frequent and forceful use of forearms and wrists. Workers must manipulate a pizza peel when removing a pizza from the oven., and when using the rolling cutter. Frequent and/or forceful pinching is required in the assembly of cardboard pizza boxes. Team members must be able to grasp cans, the phone, the pizza cutter and pizza peel, and pizza boxes.

MACHINE, TOOLS, EQUIPMENT, WORK AIDS: Team members may be required to utilize pencils/pens, computers, telephones, calculators, TDD equipment, pizza cutter and pizza peel

TECHNOLOGY: All employees must use any and all Domino’s technology implemented by the Company. All drivers must use the Driver app, All CSR must make use of the Dominos Digital Shoulder surf (DSS), All employees must use the Domino’s Car Side Delivery.

Additional Information

All your information will be kept confidential according to EEO guidelines."
fc37bcb4d600cabb,Indeed,warehouse employee and driver,IRRIGATION EXPRESS,Delivery Driver,in-person,Full-time,2025-04-18,2025-04-23,Torrance,CA,90501,hourly,17.5,17.5,36400.0,36400.0,36400.0,https://www.indeed.com/viewjob?jk=fc37bcb4d600cabb,https://www.indeed.com/jobs?q=Delivery+Driver&l=Los+Angeles%2C+CA&radius=25&fromage=7,"Warehouse Employee / Driver - Norwalk and Torrance Locations

Wholesale supplier of synthetic turf and Irrigation accessories who have been serving Southern California since 1987 is looking for warehouse employee willing to work at both our Norwalk and Torrance locations to assist in the continued growth of the company.

Job Description

Willing to work at both our Torrance location and Norwalk location

Candidate will work in the warehouse, stocking, restocking, as well as load and deliver customer orders.

Schedule: Monday - Friday

Overtime

Skills and Requirements:

*Bilingual-Spanish Required

*Reside locally

*Lift 50lbs

*Clean DMV Record

*Willing to work Overtime

Job Type: Full-time

Pay: From $17.50 per hour

Benefits:

  • Paid sick time
  • Paid time off

Schedule:

  • Day shift
  • Monday to Friday
  • No weekends

Work Location: In person"
b019e0e3b0e2c390,Indeed,Delivery Driver - $21.50 an hour!!! Interviewing Daily,Drop N' Go Deliveries,Delivery Driver,in-person,Full-time,2025-04-23,2025-04-23,Glendale,CA,91204,hourly,21.5,21.5,44720.0,44720.0,44720.0,https://www.indeed.com/viewjob?jk=b019e0e3b0e2c390,https://www.indeed.com/jobs?q=Delivery+Driver&l=Los+Angeles%2C+CA&radius=25&fromage=7,"Drop N’ Go Deliveries is an authorized Amazon Delivery Service Partner servicing the Los Angeles Metro region.

We are looking for individuals who are inspired and motivated to work in a team environment delivering packages to customers, both residents and businesses, in a safe and timely manner - COMPANY VEHICLES PROVIDED - NO CDL REQUIRED.  
*** $21.50 an hour (4-5 days a week, must be able to work weekends and possible daily OVERTIME)

***APPLY TODAY, GET INTERVIEWED ASAP***

Shift availability: FULL-TIME from 9:40 AM to approx. 6:00 PM (8-10 hours per day)

Compensation & Benefits:

  • $21.50 an hour
  • Paid Training
  • Paid Overtime
  • Paid Time off
  • Health Insurance
  • 401k
  • Tuition Reimbursement

Duties and Responsibilities:

  • Safely operate a delivery vehicle, while navigating a variety of routes throughout our service region (company Vehicle Provided. No CDL Required)
  • Be able to maneuver on/off delivery vehicles and walk up/down the stairs
  • Lift packages up to 50 lbs. safely
  • Be comfortable driving and working in varying weather conditions.
  • Efficient in the use of mobile handheld devices (i.e.: cell phones) for routing navigating and retrieval/submitting of delivery information
  • Effectively communicate with dispatchers to provide status updates

Minimum Qualifications:

  • Must be at least 21 years of age and eligible to work in the US
  • Hold a valid driver’s license issued in the state of California
  • Physical capability to adapt to fast-paced, outdoor positions that involves continual lifting, lowering, and carrying packages that typically weight 25-50 lbs.
  • Excellent customer contact and driving skills.

We are an Equal Opportunity Employer. All qualified applicants will be considered for employment regardless of age, national origin, race, color, disability, religious beliefs, or sexual orientation.

Job Type: Full-time

Pay: From $21.50 per hour

Benefits:

  • 401(k)
  • Dental insurance
  • Health insurance
  • Paid time off
  • Referral program
  • Vision insurance

Shift:

  • 10 hour shift
  • 8 hour shift

Work Days:

  • Monday to Friday
  • Weekends as needed

Shift availability:

  • Day Shift (Required)

Ability to Commute:

  • Glendale, CA 91204 (Required)

Ability to Relocate:

  • Glendale, CA 91204: Relocate before starting work (Required)

Work Location: In person"
3d61dc5b0f70a4b0,Indeed,PM Box Truck Driver,California Sierra Express Inc,Delivery Driver,in-person,Full-time,2025-04-17,2025-04-23,Compton,CA,90221,hourly,20.0,20.0,41600.0,41600.0,41600.0,https://www.indeed.com/viewjob?jk=3d61dc5b0f70a4b0,https://www.indeed.com/jobs?q=Delivery+Driver&l=Los+Angeles%2C+CA&radius=25&fromage=7,"Job Summary:

Position Type: Full-Time  
Pay Range: $20.00+ DOE  
Work Schedule: Monday to Friday, 3:00 PM to 11:30 PM

Experience: Previous LAX Cargo Terminal experience highly preferred and 1 year commercial box truck driving experience REQUIRED

Our Delivery Drivers operate a 26' commercial, liftgate box truck to perform pick-ups, deliveries and recoveries of freight in a time-sensitive and professional manner. Our PM drivers work mostly at the LAX Cargo terminals picking up and delivering air freight shipments.

California Sierra Express has been serving the air freight logistics industry for over 35 years. We operate six freight terminals in CA and one in Reno, NV. We're an overnight carrier serving international and domestic freight forwarders as a final mile Pick-Up and Delivery agent for shipments that travel around the globe.

You'll be joining a local team of over 30 people all committed to providing the best service possible to our customers who trust Cal Sierra to move their shipments on-time throughout the greater Los Angeles area.

Benefits:

  • Paid Vacation, Sick Days and Holidays
  • Health, Dental and Vision Insurance
  • 401K
  • Paid Training
  • Local Routes
  • Leased Trucks

Responsibilities and Duties:

  • Consistent attendance Mon - Fri is mandatory. Additional weekend work is available, if desired.
  • Complete assigned route in a timely manner. Route size can vary day to day and may require 9-10 hours to complete.
  • Practice defensive driving principles and follow all company safety policies.
  • Comply with all laws and regulations relating to driving, transporting and handling of freight including those issued by but limited to The Federal Motor Carrier Safety Administration (FMCSA), Department of Transportation (DOT).
  • Comply with truck and cargo security requirements as outlined by the Transportation Safety Administration (TSA).
  • Comply with safe work practices as required by the Occupational Health and Safety Administration (OSHA)
  • Comply with federal drug and alcohol regulations."
