job_id,source,title,company,queried_job_title,work_setting,job_type,date_posted,date_scraped,city,state,zip,salary_period,salary_min,salary_max,salary_min_yearly,salary_max_yearly,salary_midpoint_yearly,job_url,search_url,job_description
eb58818104054cdb,Indeed,Deployment/Integration Testing Engineer,Scalable Systems,Software Engineer,in-person,Contract,2025-04-23,2025-04-23,Plano,TX,75074,hourly,55.0,55.0,114400.0,114400.0,114400.0,https://www.indeed.com/viewjob?jk=eb58818104054cdb,https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&radius=25&fromage=7,"Job Description:

Skills: Need Telecom SDL domain expert

We are looking for a Deployment/Integration Testing Engineer to support application installation, integration, and testing in a cloud-based telecom environment. This role involves working with major network elements and customer deployments for leading telecom providers.

Key Responsibilities:

  • Prepare installation MOPs and deployment artifacts.
  • Verify cloud environment setup (image, flavor, network).
  • Perform application installation and rollback if needed.
  • Conduct Root Cause Analysis (RCA) on failures.
  • Perform post-installation health checks.
  • Integrate applications with peer nodes as per deployment plans.

Product Scope:

  • Policy: NPC, Smart Plan Suite, DSC
  • Subscriber Data Management: One NDS/SDL, SSP
  • Network Elements: HLR, HSS, UDM, EIR, AAA
  • Signaling: SCP, SEPP, BSF, DRA, SLF

Job Type: Contract

Pay: $55.00 per hour

Schedule:

  • 8 hour shift

Ability to Commute:

  • Plano, TX 75074 (Preferred)

Ability to Relocate:

  • Plano, TX 75074: Relocate before starting work (Preferred)

Work Location: In person"
694f8980445bc051,Indeed,Software Engineer I,Blue Yonder,Software Engineer,in-person,Full-time,2025-04-23,2025-04-23,Dallas,TX,,yearly,75000.0,108211.55,75000.0,108211.55,91605.775,https://www.indeed.com/viewjob?jk=694f8980445bc051,https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&radius=25&fromage=7,"About Blue Yonder: Blue Yonder is renowned for its AI-driven supply chain platforms, providing end-to-end supply chain management solutions. The company is committed to innovation, sustainability, and fostering a diverse and inclusive work environment. 

Position Overview: The Software Engineer I at Blue Yonder will focus on learning and contributing to team projects, developing simple features and bug fixes, and participating in agile team activities. 

What you will do: 

Focuses on learning the craft and how to work in a team productively, in particular: 

  • Guided by team members, contributes simple features and bug fixes and provides matching test cases. 

  • Finds suitable work items in the team backlog with the help of other team members. 

  • Participates in team activities such as backlog grooming, planning, daily stand-ups, and retrospectives. 

  • Participates in code and design reviews. 

  • Is aware of the team's continuous integration pipeline and fixes broken builds as necessary. 

  • Learns how to improve readability and maintainability of code. 

  • Continuously improves themselves and the code they produce. 

  • Develops an understanding of the problem domain their team works on. 

Additions for service-delivering teams 

  • Autonomously performs routine changes. 

  • Supports in resolving incidents around a limited set of service functions. 

  • Independently handles service requests around a limited set of service functions. 

Secondary Duties and Responsibilities 

  • Abstains from premature optimization. 

  • Understands company and team visions. 

  • Actively seeks support by team members to overcome obstacles. 

  • Autonomously performs small refactorings to improve local software quality. 

Technical Environment: 

  • Exposure to programming languages such as Java, Spring MVC, Spring Boot, Restful Web Services, Micro Services. 

  • Experience in developing web applications using web framework Spring MVC. 

  • Familiarity with agile methodologies and tools like JIRA or Confluence. 

  • Involvement in continuous integration and deployment processes. 

Who you are : 

  • Bachelor’s degree in Computer Science, Information Technology, or related field. 

  • 1-3 years of experience in software development. 

  • Basic proficiency in programming languages relevant to the role. 

  • Eagerness to learn and contribute in a team setting. 

  • Strong problem-solving skills and attention to detail. 

\- 

The salary range for this position is $75,000 to $108,211.55 

The salary range information provided, reflects the anticipated base salary range for this position based on current national data. Minimums and maximums may vary based on location. Individual salary will be commensurate with skills, experience, certifications or licenses and other relevant factors. In addition, this role will be eligible to participate in either the annual performance bonus or commission program, determined by the nature of the position. 

At Blue Yonder, we care about the wellbeing of our employees and those most important to them. This is reflected in our robust benefits package and options that includes: 

  • Comprehensive Medical, Dental and Vision 

  • 401K with Matching 

  • Flexible Time Off 

  • Corporate Fitness Program 

  • A variety of voluntary benefits such as; Legal Plans, Accident and Hospital Indemnity, Pet Insurance and much more 

At Blue Yonder, we are committed to a workplace that genuinely fosters inclusion and belonging in which everyone can share their unique voices and talents in a safe space. We continue to be guided by our core values and are proud of our diverse culture as an equal opportunity employer. We understand that your career search may look different than others, and embrace the professional, personal, educational, and volunteer opportunities through which people gain experience. 

Our Values 

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: 

Core Values 

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status."
cb537a818f9c54ad,Indeed,Front End Developer/ React JS Developer,Innova Software Services,Software Engineer,in-person,Contract,2025-04-23,2025-04-23,Plano,TX,75075,yearly,98273.0,105316.0,98273.0,105316.0,101794.5,https://www.indeed.com/viewjob?jk=cb537a818f9c54ad,https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&radius=25&fromage=7,"Sr. React/NodeJS Developer (F2F Required)

Location: Plano, TX

Long Term

Roles and Responsibilities:

Bachelor's degree in computer science, information science, or similar.

5+ Years of experience with JavaScript framework, preferably ReactJS.

Strong experience with NodeJS.

In-depth understanding of JavaScript, the DOM, and relevant concepts.

Understanding of building reusable components and front-end libraries.

Experience with common front-end development tools such as Babel, Webpack, NPM, etc.

Working knowledge of React.js workflows (such as Redux).

Knowledge of how to interact with RESTful APIs, JSX and Hooks and Context API.

Proficient understanding of code versioning tools such as Git, SVN, and Bitbucket.

Excellent communication skills (both verbal and written).

Job Type: Contract

Pay: $98,273.00 - $105,316.00 per year

Schedule:

  • 8 hour shift

Ability to Commute:

  • Plano, TX 75075 (Required)

Work Location: In person"
61f28c1e5d7286dd,Indeed,Software Engineer,WEX Inc.,Software Engineer,in-person,Full-time,2025-04-22,2025-04-23,Dallas,TX,,yearly,68000.0,90000.0,68000.0,90000.0,79000.0,https://www.indeed.com/viewjob?jk=61f28c1e5d7286dd,https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&radius=25&fromage=7,"About the Team & Role  
Software Engineer I, Benefits Engineering

At WEX, we simplify the business of running a business. Our WEX Benefits solutions reduce complexity and help manage costs of benefits administration for our clients and partners. We are looking for passionate technologists, collaborators, and problem solvers to join our Benefits Technology team as we build the next generation of employer benefits solutions and services.

As a Software Engineer on the WEX Benefits Technology team, you will work in a team that partners closely with Product Managers and customers to learn about the challenges employers face while navigating the competitive employee benefits landscape. You will design solutions that solve problems in ways our customers love and work for our business. You will build the highest quality software in the latest technologies and test driven development practices.

How you’ll make an impact

  • Collaborate with stakeholders to learn about our customers biggest challenges.

  • Measure, inspect, and drive decisions using data.

  • Design, test, code, and instrument new solutions.

  • Strengthen and drive our engineering process with TDD and BDD, Microservice and Vertical Slice Architectures.

  • Support live applications, promote proactive monitoring, rapid incident response, and continuous improvement.

  • Analyze existing systems and processes to identify bottlenecks and opportunities for improvements.

  • Mentor and learn from your peers, foster continuous learning within your team and organization.

  • Learn our team’s process and best practices, and apply them to given tasks with help from peers and your manager.

  • Partner with and assist your peers on completing tasks.

  • Focus on continuous learning of new technologies.

Experience you'll bring

  • Bachelor's degree in Computer Science, Software Engineering, or related field;   
OR demonstrable equivalent experience.

  • At least 1 year of experience in software engineering.

  • Strong problem-solving skills, excellent communication and collaboration skills.

  • Passionate about keeping up with modern technologies and design.

  • Experience building and consuming REST APIs

Technology Must-Haves:

  • C#, Python (if applicable)

Technology Nice-To-Have or Dedicate to Learning Quickly:

  • Kubernetes

  • Helm/ArgoCD

  • Terraform

  • GitHub Actions

  • NoSQL databases

  • GraphQL

  • Azure

  • Docker

  • Modern RDBMS (i.e. MS SQL, Postgres, MySQL)

  • ASP.NET RESTful API design

  • Kafka / event-driven design

  • Modern Web UI Frameworks and Libraries (i.e. Angular, React)

The base pay range represents the anticipated low and high end of the pay range for this position. Actual pay rates will vary and will be based on various factors, such as your qualifications, skills, competencies, and proficiency for the role. Base pay is one component of WEX's total compensation package. Most sales positions are eligible for commission under the terms of an applicable plan. Non-sales roles are typically eligible for a quarterly or annual bonus based on their role and applicable plan. WEX's comprehensive and market competitive benefits are designed to support your personal and professional well-being. Benefits include health, dental and vision insurances, retirement savings plan, paid time off, health savings account, flexible spending accounts, life insurance, disability insurance, tuition reimbursement, and more. For more information, check out the ""About Us"" section. 

Pay Range: $68,000.00 - $90,000.00"
06c9be125e497f28,Indeed,Azure Cloud Engineer,Infosys,Software Engineer,in-person,Full-time,2025-04-17,2025-04-23,Irving,TX,,yearly,83373.0,118800.0,83373.0,118800.0,101086.5,https://www.indeed.com/viewjob?jk=06c9be125e497f28,https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&radius=25&fromage=7,"Infosys is seeking an Azure Cloud Engineer with experience in administration and managing Azure Infrastructure. The role requires a close partnership and collaboration with other IT Engineers, and Subject Matter Experts.   

Required Qualifications:  

  • Candidate must be located within commuting distance of Long Beach, CA, or, Phoenix, AZ, or, Irving, TX, or Richardson, TX, or Raliegh, NC, be willing to relocate to the area. This position may require travel in the US
  • Bachelor’s degree or foreign equivalent required from an accredited institution. Will also consider three years of progressive experience in the specialty in lieu of every year of education
  • At least 4 years of Information Technology experience
  • At least 4 years of experience in using variety of Azure technologies such as:(Virtual Machines, NetApp Storage, Network, Azure Automation, Azure Backup and Site Recovery Services, Security) to develop and maintain an Azure based cloud solution, with an emphasis on best practice cloud security.
  • Experienced with:
  • Azure Linux operations – VM Provision, OS/Resource upgrades, Troubleshooting and best practice implementations
  • Scripting: Good scripting (e.g. PowerShell) and automation skills using Ansible and DevOps pipeline
  • ITIL process on incident, change, Problem management and Governance.
  • Virtual Machine administration for Linux OS, NetApp storage, and troubleshooting skills.
  • PaaS services (AKS, App Services, Function App, Databricks etc.,)
  • Proactive problem management and the capacity management to avoid incidents
  • Work with onsite and offshore team and manage Major incidents, Change implements and SLA management.
  • Participate in the Major Incident/Bridge call during Outage and troubleshoot IaaS and PaaS related issues
  • Conduct: Linux Administration and Troubleshooting
  • Recover/Build VM and automation to solve customer problems.
  • Utilize scripts to automate troubleshooting and diagnostics activities.
  • All applicants authorized to work in the United States are encouraged to apply

Preferred Qualifications:  

  • Must be able to work in 24x7 production support environment
  • Participate in an on-call rotation for support of systems outside of normal business hours.
  • Support the PST hours and work as a team player
  • Healthcare domain knowledge is a plus
  • Excellent Communications and client interaction skills along with exceptional written and verbal skills as well as technical documentation
  • Extraordinary Planning, Project Management, Coordination, and Analytical skills
  • Hands-on experience in working in Global Delivery Model with onsite/offshore resources
  • Exceptional Organizational Skills
  • Ability to manage and prioritize tasks efficiently
  • Readiness to demonstrate a proactive attitude
  • Solid attention to detail and excellent written and verbal communication skills are required
  • Ability to work in team in diverse/ multiple stakeholder environment

The job entails sitting as well as working at a computer for extended periods of time. Should be able to communicate by telephone, email or face to face. Travel may be required as per the job requirements.  

Estimated annual compensation range for this role will be as follows:  
In Long Beach, CA: $83,373 to $118,800  

Along with competitive pay as a full-time Infosys employee you are also eligible for the following benefits:  

  • Medical/Dental/Vision/Life Insurance
  • Long-term/Short-term Disability
  • Health and Dependent Care Reimbursement Accounts
  • Insurance (Accident, Critical Illness, Hospital Indemnity, Legal)
  • 401(k) plan and contributions dependent on salary level
  • Paid holidays plus Paid Time Off

About Us  
Infosys is a global leader in next-generation digital services and consulting. We enable clients in more than 50 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.  

Infosys provides equal employment opportunities to applicants and employees without regard to race; color; sex; gender identity; sexual orientation; religious practices and observances; national origin; pregnancy, childbirth, or related medical conditions; status as a protected veteran or spouse/family member of a protected veteran; or disability."
d78bbf33c3a3fd7d,Indeed,Lead Automation Engineer,PrismIT LLC,Software Engineer,hybrid,Contract,2025-04-22,2025-04-23,Addison,TX,75001,hourly,60.0,70.0,124800.0,145600.0,135200.0,https://www.indeed.com/viewjob?jk=d78bbf33c3a3fd7d,https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&radius=25&fromage=7,"Job Overview  
We are seeking a skilled Automation Engineer to join our dynamic team. The ideal candidate will be responsible for designing, developing, and implementing automated solutions to enhance our software development processes. This role requires a deep understanding of automation frameworks and tools, as well as a passion for improving efficiency through innovative technology.

Duties:

  • Develop and maintain automated test scripts to ensure software quality and performance.
  • Build frameworks for test automation
  • Preparing automation scripts
  • Collaborate with cross-functional teams to define testing requirements and create comprehensive test cases.
  • Implement CI/CD pipelines to streamline the release management process and facilitate continuous integration.
  • Perform debugging of applications and systems to identify issues and enhance functionality.
  • Prepare detailed test reports.
  • Document automation processes, test results, and provide insights for continuous improvement.
  • Should have deep familiarity with the different types of software testing - Unit testing, Integration testing, System testing, Load testing, Regression testing, Functional testing, Acceptance testing

Requirements:

  • Bachelor’s degree in computer science, software engineering, or a similar field.
  • Previous experience working as a QA automation engineer.
  • Advanced programming skills including automation systems and databases.
  • Familiarity with programming script languages
  • Excellent analytical skills.
  • Detailed knowledge of application functions, bug fixing, and testing protocols.
  • Good written and verbal communication skills.
  • Strong attention to detail.
  • Good project management skills.

Good to have:

  • Grafana k6 Load testing
  • Ascential automation

Job Type: Contract

Pay: $60.00 - $70.00 per hour

Expected hours: 40 per week

Schedule:

  • 8 hour shift

Work Location: Hybrid remote in Addison, TX 75001"
7e8d02e5d37ee01b,Indeed,.NET Fullstack Developer,Infosys,Software Engineer,in-person,,2025-04-18,2025-04-23,Richardson,TX,,,,,,,,https://www.indeed.com/viewjob?jk=7e8d02e5d37ee01b,https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&radius=25&fromage=7,"Infosys is seeking a .NET Developer.   
In this role, you will interface with key stakeholders and apply your technical proficiency across different stages of the Software Development Life Cycle including Requirements Elicitation, Application Architecture definition and Design. You also deliver high quality code deliverables for a module, validate, test and support activities related to implementation, transition and warranty. You will be part of a learning culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.  

Candidate must be located within commuting distance of Richardson, TX or be willing to relocate to these areas. This position may require travel to project locations.  

Candidates authorized to work for any employer in the United States without employer-based visa sponsorship are welcome to apply. Infosys is unable to provide immigration sponsorship for this role at this time.  

Required Qualifications:

  • Bachelor’s degree or foreign equivalent required from an accredited institution. Will also consider three years of progressive experience in the specialty in lieu of every year of education 

  • At least 2 years of experience with Information Technology. 

  • Experience with .NET Core, Angular and web Application development. 

Preferred Qualifications:

  • At least 4 years of experience in.NET Core and web Application development. 

  • Experience in REST APIs /Web APIS and its different configurations. 

  • Experience in basics of architecture and design fundamentals. 

  • Experience with different versions of MS visual studio IDE, Git repos, Bitbucket and JIRA. 

  • Experience with MS SQL Server, Postgres SQL, Entity Framework and LINQ knowledge is a must. 

  • Good in communication and knowledge in Agile concepts. 

  • Experience with UI & Markup Languages-: Angular JS (HTML/ CSS/ JavaScript/ Bootstrap/ jQuery/ HTML5/ CSS3/ AngularJS/ Angular 2 to 10. 

  • Experience in AWS ecosystem 

  • Strong communication and Analytical skills 

  • Ability to work in team in diverse/ multiple stakeholder environment 

  • Experience and desire to work in a Global delivery environment 

The job entails sitting as well as working at a computer for extended periods of time. Should be able to communicate by telephone, email or face to face. Travel may be required as per the job requirements.

About Us  
Infosys is a global leader in next-generation digital services and consulting. We enable clients in more than 50 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.  

Infosys provides equal employment opportunities to applicants and employees without regard to race; color; sex; gender identity; sexual orientation; religious practices and observances; national origin; pregnancy, childbirth, or related medical conditions; status as a protected veteran or spouse/family member of a protected veteran; or disability."
a2a49dca6d86ab18,Indeed,Junior Software Developer,Workforce Opportunity Services,Software Engineer,in-person,Full-time,2025-04-22,2025-04-23,Coppell,TX,75019,hourly,21.0,21.0,43680.0,43680.0,43680.0,https://www.indeed.com/viewjob?jk=a2a49dca6d86ab18,https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&radius=25&fromage=7,"Overview: 

## Junior Software Development  
Training and Employment Program

##  Join our program. Change your life.

Workforce Opportunity Services (WOS) is a leading 501(c)(3) nonprofit dedicated to supporting early-career professionals starting or returning to the career field who are representative of the communities we serve. Through strategic partnerships, WOS connects motivated talent with organizations seeking to expand their workforce with skilled professionals.

Utilizing a scientifically-based model derived from research conducted at Columbia University, we recruit, educate, train, and place high-potential candidates with leading organizations around the world. 

Overview:

  • This program provides NO COST, comprehensive training to highly motivated individuals. Upon successful completion of the program, you will receive customized training, followed by Full-Time employment with our partner.
  • This unique work-study opportunity differs from the typical job. Our solution, for those who are ready, will put you on the right personal, academic, and professional path while providing the necessary support and mentorship to help keep you there.
  • This program will focus on Software Development.
  • Due to the accelerated training timeline and condensed curriculum, the successful candidate will have prior knowledge in computer science.

Responsibilities: 

Program Information:

  • Program Selection Event (4 days) (Virtual-Zoom & In-Person):
  • Program Selection Event dates:
  • Monday, June 23rd, 2025 & Tuesday, June 24th, 2025 (Virtual)
  • Wednesday, June 25th, 2025 & Thursday, June 26th, 2025 (In-Person)
  • The Program Selection Event is a competitive process, in which we assess candidates through individual and team exercises to determine who will be selected for the training program.
  • Unless prior arrangements are made, attendance is MANDATORY on ALL days in order to be considered for selection into this program.
  • Additional program information will be provided at a later date.
  • Phase 1 - Academics (14 Weeks):
  • If selected into program, dates are as follows:
  • Orientation: July 3rd, 2025 (Virtual)
  • Full-Time Academics: July 7th, 2025
  • Classes will be held daily from 9am-5pm
  • Training will include:
  • Interpersonal Skills
  • Software Development
  • Phase 1 Compensation: $500/Week Stipend.
  • This stipend is a miscellaneous payment (Form 1099) and is required to be reported to the IRS when filing taxes.
  • Phase 2 - Full-Time Consultancy (9 months) (Coppell, TX):
  • Consultancy Start Date: October 13th, 2025
  • Full-Time work (38 hours/week) with an Academic component (2 hours/week)
  • Participants will be eligible for hire after the 9-month consultancy period
  • Throughout the program you will receive continued support and mentorship to ensure your success.
  • Phase 2 Compensation:
  • $21.00/Hour (Plus Benefits after 90 days)

Qualifications: 

Candidate Profile:

  • High School Diploma/GED
  • Motivated young adult passionate about learning new technologies
  • Some knowledge/background in computer science, or related field
  • Availability to commit to a full-time schedule (Mon-Fri/9am-5pm) beginning July 2025

Technical knowledge that will benefit you in this program:

  • Basic understanding of HTML, CSS, and introductory programming concepts (e.g., variables, loops, conditionals)
  • Familiarity with any programming language (e.g., Python, JavaScript, C#, or Java) is strongly preferred
  • Awareness of how web applications function (client-server model, browsers, etc.)
  • Knowledge or experience with Software Development Framework / Platform (.Net)

Additional Information: 

### Location:

  • Program Selection Event/Phase 1: Virtual (Zoom) & in-person at Dallas, TX
  • Phase 2: Coppell, TX 
    • Must be within a one hour commute of Coppell, TX

Benefits: 
  • Low Cost Health Insurance (after 90 days Full Time)
  • Free Training (Program specific)
  • Paid Vacation (Accrual begins immediately - Available After 90 days Full Time)
  • Paid Company Holidays
  • Education (Tuition Assistance, Student Loan Reimbursement or Professional Development)
  • Individual Mentor
  • Interest free loans (Case basis)

About Us: 

### About WOS

Our vision is to empower early-career professionals to achieve long-lasting professional success and financial independence while supporting companies in building workplaces that reflect and engage with the communities they serve. We are in the business of creating dynamic partnerships that transform lives. 

Pay Range: Up to USD $21.00/Hr."
489c54d3d138649c,Indeed,Senior Embedded Software Engineer (Medical Devices),shrikon,Software Engineer,in-person,Contract,2025-04-21,2025-04-23,Plano,TX,,,,,,,,https://www.indeed.com/viewjob?jk=489c54d3d138649c,https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&radius=25&fromage=7,"Company Description

Shrikon is an IT Solution company headquartered in Dallas, TX. It is founded in 2008 and operates in US, Canada and India. Shrikon offers a wide variety of services that include contract staffing, permanent placement, career transition and talent development, as well as outsourcing and consulting. Shrikon serves diversified client domains such as ecommerce, Telecom, Robotics/Drone and Financial industries amongst others.

Job Description  

  • Develop and implement comprehensive project plans, meticulously defining project scope, establishing realistic timelines, and managing resources with utmost efficiency.
  • Leverage extensive expertise in Broadcom and IBM Mainframe technologies, including subsystems, JCL, COBOL, and REXX, to ensure optimal system performance and integration.
  • Establish and maintain critical relationships with key stakeholders, including high-level business leaders, technical teams, and end users, to ensure alignment with organizational objectives.
  • Conduct thorough risk assessments, identify potential threats to project success, and develop robust mitigation strategies and contingency plans.
  • Strategically allocate resources, meticulously track expenses, and optimize costs while maintaining unwavering focus on project success and quality deliverables.
  • Provide authoritative leadership to project teams, fostering a culture of collaboration, excellence, and accountability while setting clear, unambiguous direction.
  • Rigorously oversee project execution, ensuring strict adherence to defined project plans and timelines, and swiftly addressing any deviations.
  • Maintain highly effective communication channels, proactively manage stakeholder expectations, and address concerns with urgency and professionalism.
  • Negotiate complex contracts, diligently track deliverables, and ensure seamless vendor collaboration to support project objectives.
  • Conduct comprehensive assessments of mainframe migration impact on existing processes and workflows, ensuring smooth transitions and minimal disruption to operations.
  • Spearhead process improvements and implement industry-leading best practices for change management to drive organizational efficiency and effectiveness.

Additional Information

All your information will be kept confidential according to EEO guidelines."
96fae09755f83f20,Indeed,Software Developer,Semper Valens Solutions,Software Engineer,in-person,Full-time,2025-04-23,2025-04-23,Dallas,TX,,yearly,70000.0,155000.0,70000.0,155000.0,112500.0,https://www.indeed.com/viewjob?jk=96fae09755f83f20,https://www.indeed.com/jobs?q=Software+Engineer&l=Dallas%2C+TX&radius=25&fromage=7,"## Software Developer

##  Full-Time Lawton, OK

##  Secret Clearance

Sign-on Bonus: up to $2,500

Referral bonus: $1,000

Job Description:

Semper Valens Solutions currently has multiple openings for Software Developers to work in our Lawton, Oklahoma office. This is an exciting opportunity to use your experience helping the Fires Division Post Deployment Software Support (PDSS) and Post-Production Software Support (PPSS) Maintenance and Sustainment mission. In this mission we provide engineering and technical services to the CECOM Software Engineering Center Mission Command Division based in Aberdeen MD with operations located at Ft. Sill/Lawton, OK.

Successful candidates will support our customer in creating capabilities and providing technical services and subject matter expertise in Mission Command, Fires and C2 Maneuver systems. You will provide technical support to the Family of US Army's FIRES Systems including: AFATDS, AN/TQP-53 and LCMR Q49A.

Primary Responsibilities.

  • Assist in the design, development, and maintenance of software for a variety of engineering applications.

  • Work with analysts to understand their analytic or interface requirements.

  • Assist in developing tools and interfaces.

  • Assist in design, development, and testing of operating systems-level software, compilers, and network distribution software applications.

  • Assist in setting operational specifications and formulate and analyzing software requirements.

  • Assist in design embedded systems software.

  • Analyze user needs; develop and design software solutions.

Basic Qualifications

  • Bachelor's Degree in computer science, electronics engineering or other engineering or Technical discipline.

  • CND, GISF, or SSCP certification may be substituted for the degree.

  • 2-4 years of prior relevant experience in software development.

  • Current and active Secret Clearance.

Preferred Qualifications

1 year of Agile Development experience.

About Semper Valens Solutions:

Semper Valens Solutions, Inc. is a Service-Disabled Veteran-Owned Small Business (SDVOSB) providing Cost Effective Software and Systems Engineering, Field Support, Training, and Full Life cycle Support Management to the DOD community. At Semper Valens, our vision is to remain a creative, cutting edge and cost-effective solutions provider where our shared intellect, industry experience, and technology excellence, make a positive difference our customer's success. Our solutions help bridge the gap between IT and business prioritizations to optimize budgets, risks, and operational processes. We search for outstanding technical professionals, hiring at all levels of the experience spectrum; intermediate, journeyman, and senior. Consider us for your career plan.

Semper Valens Solutions is an Equal Opportunity Employer

Semper Valens Solutions, Inc. proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital/parental status, pregnancy/childbirth or related conditions, physical or mental disability, genetic information, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with Semper Valens Solutions through its online applicant system, please contact Semper Valens Solutions Human Resources Department at (830) 899-6870.

Semper Valens Solutions is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. Applicants have rights under Federal Employment Laws.

All Jobs at Semper Valens Solutions: https://sempervalens.com/careers"
